Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
56,49,45,28,Makman-2,"Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR",Saudi Aramco,Dell,Saudi Arabia,2015,Industry,76032,,2249.68,3041.28,4460544,,,1134,Submitted,1.984,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Redhat Enterprise Linux 6.5,Linux,None,12,Intel Xeon E5 (Haswell),Dell PowerEdge R630,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,Western Asia,Asia
57,50,43,80,Prolix2,"bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDR",Meteo France,Bull,France,2014,Research,72000,,2167.99,2534.4,3511032,,35.348,830.4,Submitted,2.611,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,bullx SCS,Linux,None,20,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
58,51,48,51,Beaufix2,"bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDR",Meteo France,Bull,France,2016,Research,73440,,2157.41,2585.088,3529680,,35.348,830.2,Submitted,2.599,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,bullx SCS,Linux,None,20,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
59,52,43,129,Lomonosov 2,"T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR, Nvidia K40m",Moscow State University - Research Computing Center,T-Platforms,Russia,2014,Academic,42688,22080,2102,2962.253,2308096,705000,,1079,Submitted,1.948,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,NVIDIA Tesla K40m,14,Intel Xeon E5 (Haswell),T-Platforms A-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
60,53,44,21,Tianhe-2 LvLiang Solution,"Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P",LvLiang Cloud Computing Center,NUDT,China,2014,Industry,174720,153216,2071.39,3074.534,2366976,,37.6,997,Submitted,2.078,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,2200,Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Intel Xeon E5 (IvyBridge),Tianhe-2 LvLiang,Tianhe-2 LvLiang,Custom Interconnect,TH Express-2,Eastern Asia,Asia
61,,49,61,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","GSIC Center, Tokyo Institute of Technology",HPE,Japan,2017,Academic,36288,32256,1998,3207.629,1096704,,,141.6,Submitted,14.11,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,SUSE Linux Enterprise Server 12 SP1,Linux,NVIDIA Tesla P100 SXM2,14,Intel Xeon E5 (Broadwell),"SGI ICE XA (HPE SGI 8600), IP139-SXM2",HPE SGI 8600,Omnipath,Intel Omni-Path,Eastern Asia,Asia
62,54,46,34,,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Japan Atomic Energy Agency (JAEA),HPE,Japan,2015,Research,60240,,1929.37,2409.6,3852288,,,1204.8,Derived,1.601,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Eastern Asia,Asia
63,55,47,44,Tera-1000-1,"bullx DLC 720, Xeon E5-2698v3 16C 2.3GHz, Infiniband FDR",Commissariat a l'Energie Atomique (CEA),Bull,France,2016,Research,70272,,1871,2586.01,4263552,,,1042,Submitted,1.796,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Bullx Linux,Linux,None,16,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
64,56,39,7,Fermi,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",CINECA,IBM,Italy,2012,Academic,163840,,1788.878,2097.152,,,21.6,821.88,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Southern Europe,Europe
65,,49,65,QURIOSITY,"Apollo XL230k, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",BASF,HPE,Germany,2017,Industry,35280,,1750.18,2709.504,4264320,,,1168.65,Derived,1.498,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,None,20,Xeon Gold,Apollo XL230k,HP Apollo,Omnipath,Intel Omni-Path,Western Europe,Europe
66,57,47,46,Marconi Intel Xeon,"Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Omni-Path",CINECA,Lenovo,Italy,2016,Academic,54432,,1723.89,2003.098,4320000,,,1360.8,Derived,1.267,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,18,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Omnipath,Intel Omni-Path,Southern Europe,Europe
67,,49,67,,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet, NVIDIA Tesla P100",Internet Service A,Inspur,China,2017,Industry,39680,34720,1714,3149.6,1460000,,,967.2,Derived,1.772,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur TS10000,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia
68,58,45,33,SwiftLucy,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Government,HPE,United States,2015,Government,57600,,1703.28,2304,3450432,,,2880,Derived,0.591,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform 3000 BL460c Gen9,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,North America,Americas
69,,49,69,Gyoukou,"ZettaScaler-2.0 HPC system, Xeon D-1571 16C 1.3GHz, Infiniband EDR, PEZY-SC2",Japan Agency for Marine -Earth Science and Technology,ExaScalar,Japan,2017,Research,3176000,3174400,1677.13,3207.68,2380800,,,164,Derived,10.226,Cluster,Xeon D-1571 16C 1.3GHz,Intel Broadwell,1300,CentOS,Linux,PEZY-SC2,16,Intel Xeon E5 (Broadwell),ZettaScaler-2.0 HPC system,ZettaScaler,Infiniband,Infiniband EDR,Eastern Asia,Asia
70,,49,70,Raijin,"Fujitsu PRIMERGY/Lenovo nx360 M5,  Xeon E7-4809v4, Infiniband EDR, NVIDIA Tesla P100, Xeon Phi",National Computational Infrastructure National Facility (NCI-NF),Fujitsu / Lenovo / Xenon,Australia,2012,Academic,87224,3984,1676.22,1874.995,3719424,,,2016,Derived,0.831,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,CentOS,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Hybrid Cluster PRIMERGY/x3550 M5/PowerEdge/Rackable,Hybrid Cluster,Infiniband,Infiniband EDR,Australia and New Zealand,Oceania
71,59,45,49,Prometheus,"HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",Cyfronet,HPE,Poland,2015,Academic,55728,2160,1670.09,2348.64,5439592,,39.9,807.6,Submitted,2.068,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),HP Apollo 8000,HP Apollo,Infiniband,Infiniband FDR,Eastern Europe,Europe
72,60,43,18,Edison,"Cray XC30, Intel Xeon E5-2695v2 12C 2.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,Cray Inc.,United States,2014,Research,133824,,1654.702,2569.421,,,78.6,3747.07,Derived,0.442,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
73,61,42,19,ARCHER,"Cray XC30, Intel Xeon E5 v2 12C 2.700GHz, Aries interconnect ",EPSRC/University of Edinburgh,Cray Inc.,United Kingdom,2014,Research,118080,,1642.536,2550.528,,,80.8,3306.24,Derived,0.497,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
74,62,46,41,Luna,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",NOAA,Cray Inc.,United States,2015,Research,48960,,1635.02,2036.736,3950400,,,956.25,Derived,1.71,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
75,63,46,42,Surge,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",NOAA,Cray Inc.,United States,2015,Research,48960,,1635.02,2036.736,3950400,,,956.25,Derived,1.71,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
76,65,42,17,,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",IBM Development Engineering,IBM,United States,2013,Vendor,62944,,1587,1931.625,,,,3575.63,Submitted,0.444,MPP,POWER7 8C 3.84GHz,Power,3836,Linux,Linux,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,Americas
77,66,48,66,LANL CTS-1 Grizzly,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Los Alamos National Laboratory,Penguin Computing,United States,2016,Research,53352,,1524.72,1792.627,4268160,,,603.4,Submitted,2.527,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,Americas
78,67,45,40,Salomon,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, Intel Xeon Phi 7120P","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czech Republic,2015,Academic,76896,52704,1457.73,2011.641,2838528,,,1537.92,Derived,0.948,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,Intel Xeon Phi 7120P,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Eastern Europe,Europe
79,68,39,13,Blue Joule,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Science and Technology Facilities Council - Daresbury Laboratory,IBM,United Kingdom,2012,Research,131072,,1431.102,1677.722,,,,657,Submitted,2.178,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
80,69,46,49,JURECA,"T-Platforms V-Class, Xeon E5-2680v3 12C 2.5GHz, Infiniband EDR/ParTec ParaStation ClusterSuite, NVIDIA Tesla K80/K40",Forschungszentrum Juelich (FZJ),T-Platforms,Germany,2015,Research,49476,4260,1424.72,1693.44,4000000,450000,68.3,828.55,Submitted,1.72,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,NVIDIA Tesla K80,12,Intel Xeon E5 (Haswell),T-Platforms V-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband EDR,Western Europe,Europe
81,70,40,69,Spirit,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Air Force Research Laboratory,HPE,United States,2012,Government,73584,,1415.47,1530.547,3128832,,,1606,Submitted,0.881,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Redhat Enterprise Linux 6,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
82,71,44,56,Piz Daint Multicore,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Swiss National Supercomputing Centre (CSCS),Cray Inc.,Switzerland,2016,Research,44928,,1410.73,1509.581,3016704,,,519,Submitted,2.718,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
83,72,44,32,Beskow,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",KTH - Royal Institute of Technology,Cray Inc.,Sweden,2014,Academic,53632,,1397,1973.658,3367296,,,785.62,Derived,1.778,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
84,73,47,61,Sid,"bullx DLC 720, Xeon E5-2695v4 18C 2.1GHz, Infiniband FDR",Atos,Bull,France,2016,Vendor,49896,,1363.48,1676.506,2439936,,,543,Submitted,2.511,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,bullx SCS,Linux,None,18,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
85,74,39,9,Curie thin nodes,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",CEA/TGCC-GENCI,Bull,France,2012,Research,77184,,1359,1667.174,5757528,,51,2132,Submitted,0.637,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
86,,49,86,Cedar,"Dell C4130/Dell C6320, Xeon E5-2650v4/E5-2683-v4, Intel Omni-Path, NVIDIA Tesla P100",Simon Fraser University/Compute Canada,Dell,Canada,2017,Academic,59776,32256,1337,3710.464,940800,472320,,167,Submitted,8.006,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,Americas
87,75,47,63,Cobalt,"bullx DLC 720, Xeon E5-2680v4 14C 2.4GHz, Infiniband EDR",Commissariat a l'Energie Atomique (CEA)/CCRT,Bull,France,2016,Research,38528,,1299.47,1479.475,3843648,,,539,Submitted,2.411,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,bullx SCS,Linux,None,14,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband EDR,Western Europe,Europe
88,77,45,45,Gordon,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect , Intel Xeon Phi 5120D",Navy DSRC,Cray Inc.,United States,2015,Government,61256,10248,1285.6,2049.602,4838400,,,2323.71,Submitted,0.553,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,Intel Xeon Phi 5120D,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
89,76,45,46,Conrad,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect , Intel Xeon Phi 5120D",Navy DSRC,Cray Inc.,United States,2015,Government,61256,10248,1285.6,2049.602,4838400,,,2323.71,Submitted,0.553,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,Intel Xeon Phi 5120D,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
90,78,42,31,,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR",Max-Planck-Gesellschaft MPI/IPP,Lenovo/IBM,Germany,2013,Research,65320,,1283.312,1463.168,,,61.5,1260,Submitted,1.019,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe
91,79,35,2,Nebulae,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050",National Supercomputing Centre in Shenzhen (NSCS),Sugon,China,2010,Research,120640,64960,1271,2984.3,2359296,,,2580,Submitted,0.493,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Dawning TC3600 Blade System,Dawning Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
92,80,40,13,Yellowstone,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",National Center for Atmospheric Research (NCAR),IBM,United States,2012,Research,72288,,1257.615,1503.59,,,,1436.72,Submitted,0.875,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
93,81,40,118,Sisu,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",CSC (Center for Scientific Computing),Cray Inc.,Finland,2014,Academic,40608,,1250,1689.293,3301440,,,680,Submitted,1.838,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
94,82,38,28,Helios,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration",Bull,Japan,2011,Academic,70560,,1237,1524.096,4870152,,42.6,2200,Submitted,0.562,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Eastern Asia,Asia
95,,49,95,Graham,"Huawei X6800 V3, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR/FDR, NVIDIA Tesla P100",SHARCNET - University of Waterloo,Huawei,Canada,2017,Academic,51200,17920,1228,2641.408,2000320,,,546.04,Submitted,2.249,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Huawei X6800 V3,Huawei Cluster,Infiniband,Infiniband EDR/FDR,North America,Americas
96,83,47,71,Diego,"bullx DLC 720, Xeon E5-2698v4 20C 2.2GHz, Infiniband FDR",Atos,Bull,France,2016,Vendor,46800,,1225.28,1647.36,2835504,,,472,Submitted,2.596,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,bullx SCS,Linux,None,20,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
97,85,48,85,SNL/NNSA CTS-1 Cayenne,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2016,Research,40392,,1223.7,1357.171,3953496,,,480,Submitted,2.549,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,Americas
98,84,48,84,SNL/NNSA CTS-1 Serrano,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2016,Research,40392,,1223.7,1357.171,3953496,,,480,Submitted,2.549,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,Americas
99,140,42,385,,"Cray XC40, E5-2680v3 12C 2.5Ghz/Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Deutscher Wetterdienst,Cray Inc.,Germany,2017,Research,41472,,1214.2,1459.814,4086336,,,528.2,Submitted,2.299,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
100,,49,100,Wilkes-2,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",University of Cambridge,Dell,United Kingdom,2017,Academic,21240,20160,1193,1751.616,849600,,,114.4,Submitted,10.428,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Scientific Linux,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,Northern Europe,Europe
101,,49,101,LLNL/NNSA CTS-1 Nel,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2017,Research,39744,,1179.58,1335.398,3237888,,,485,Submitted,2.432,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,Americas
102,86,45,54,Sekirei,"SGI ICE XA, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",University of Tokyo/Institute for Solid State Physics,HPE,Japan,2015,Academic,38016,,1178.3,1520.64,3194880,,,580.9,Submitted,2.028,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE XA,SGI ICE,Infiniband,Infiniband FDR,Eastern Asia,Asia
103,87,36,44,Garnet,"Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect",ERDC DSRC,Cray Inc.,United States,2010,Research,150528,,1167,1505.28,5685504,,,5569,Derived,0.21,MPP,Opteron 16C 2.5GHz,AMD x86_64,2500,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Custom Interconnect,Cray Gemini interconnect,North America,Americas
104,88,47,74,,"Lenovo RD450, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet",Service Provider T,Lenovo,China,2016,Industry,78000,,1149.57,2870.4,4560768,,,2437.5,Derived,0.472,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
105,89,48,89,LANL/NNSA CTS-1 Ice,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Los Alamos National Laboratory,Penguin Computing,United States,2016,Research,39672,,1144.84,1332.979,3808512,,,485.7,Submitted,2.357,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,Americas
106,90,48,90,LANL/NNSA CTS-1 Fire,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Los Alamos National Laboratory,Penguin Computing,United States,2016,Research,39672,,1144.84,1332.979,3808512,,,485.7,Submitted,2.357,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,Americas
107,91,37,6,Cielo,"Cray XE6, Opteron 6136 8C 2.40GHz, Custom",DOE/NNSA/LANL/SNL,Cray Inc.,United States,2011,Research,142272,,1110,1365.811,,,,3980,Submitted,0.279,MPP,Opteron 6136 8C 2.4GHz,AMD x86_64,2400,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Custom Interconnect,Cray Gemini interconnect,North America,Americas
108,92,47,76,,"Dell C4130, Xeon E5-2630v3 8C 2.4GHz, Infiniband FDR, NVIDIA Tesla K80",Energy Company (DD),Dell,United States,2016,Industry,25920,22464,1106,1748.39,1651200,,,3564,Derived,0.31,Cluster,Xeon E5-2630v3 8C 2.4GHz,Intel Haswell,2400,CentOS,Linux,NVIDIA Tesla K80,8,Intel Xeon E5 (Haswell),Dell C4130,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,North America,Americas
109,93,46,66,,"Lenovo ThinkServer RD650, Xeon E5-2680v3 12C 2.5GHz, 10G Ethernet",Internet Company A,Lenovo,China,2015,Industry,84000,,1101.6,3360,5020000,,,2625,Derived,0.42,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia
110,94,46,65,,"Lenovo ThinkServer RD650, Xeon E5-2680v3 12C 2.5GHz, 10G Ethernet",Internet Company A,Lenovo,China,2015,Industry,84000,,1101.6,3360,5020000,,,2625,Derived,0.42,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia
111,95,44,41,Magnus,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ","Pawsey Supercomputing Centre, Kensington, Western Australia",Cray Inc.,Australia,2014,Research,35712,,1097.558,1485.619,3159744,,,697.5,Derived,1.574,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Australia and New Zealand,Oceania
112,96,48,96,Electra,"SGI ICE X, Xeon E5-2680v4 14C 2.4GHz, Infiniband FDR",NASA/Ames Research Center/NAS,HPE,United States,2016,Research,32256,,1096.02,1238.63,3603840,,25.2,438.54,Submitted,2.499,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,SUSE Linux Enterprise Server 11,Linux,None,14,Intel Xeon E5 (Broadwell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
