Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
126,102,40,72,Haise,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Navy DSRC,IBM,United States,2012,Government,18816,0,327347,391373,0,0,374,875,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
127,101,40,73,Kilrain,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Navy DSRC,IBM,United States,2012,Government,18816,0,327347,391373,0,0,374,875,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
128,103,42,103,,"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet",Software Company (M),Hewlett-Packard,United States,2013,Industry,57648,0,325138,830131,0,0,,,Cluster,Xeon E5-2450L 8C 1.8GHz,Intel SandyBridge,1800,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL360e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
129,104,38,71,Zeus,"SGI ICE 8400EX, Xeon X5690 6C 3.470GHz, Infiniband QDR",NOAA Environmental Security Computer Center,SGI,United States,2011,Research,27600,0,322900,382648,2322432,0,,,MPP,Xeon X5690 6C 3.47GHz,Intel Nehalem,3470,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),SGI ICE 8400EX,SGI ICE,Infiniband,Infiniband QDR,North America,Americas
130,,43,130,,"T-Platform A-Class Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Nvidia K40m",Moscow State University - Research Computing Center,T-Platforms,Russia,2014,Academic,6400,3840,319800,423424,688116,0,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,Nvidia K40m,10,Intel Xeon E5 (IvyBridge),T-Platform A-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
131,105,36,118,Keeneland,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, NVIDIA 2090",Georgia Institute of Technology,Hewlett-Packard,United States,2011,Research,16896,12672,319560,614539,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,NVIDIA 2090,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
132,106,41,89,,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",National Center for Medium Range Weather Forecast,IBM,India,2013,Research,16832,0,318443,350106,0,0,350,911,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,South-central Asia,Asia
133,107,36,53,Blackthorn,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",AWE,Bull SA,United Kingdom,2010,Research,17856,0,318000,371405,2668480,0,446,712,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Northern Europe,Europe
134,108,42,108,,"Fujitsu PRIMERGY CX400, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR, Xeon Phi 3120p","Information Technology Center, Nagoya University",Fujitsu,Japan,2013,Academic,23478,10374,317900,465592,2038272,0,,,Cluster,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Linux,Linux,Intel Xeon Phi 3120p,12,Intel Xeon E5 (IvyBridge),Fujitsu PRIMERGY CX400,Fujitsu Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
135,109,42,109,,"Cluster Platform DL360p Gen8, Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,China,2013,Industry,36792,0,317782,676973,0,0,,,Cluster,Xeon E5-2630 6C 2.3GHz,Intel SandyBridge,2300,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL360p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
136,,43,136,,"Cluster Platform SL250s Gen8, Intel Xeon E5-2670v2  10C 2.5GHz, Infiniband FDR",IT Service Provider,Hewlett-Packard,India,2014,Industry,18660,0,316847,373200,0,0,,,Cluster,Intel Xeon E5-2670v2  10C 2.5GHz,Intel IvyBridge,2500,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,South-central Asia,Asia
137,111,36,20,Haeon,Cray XE6 12-core 2.1 GHz,Korea Meteorological Administration,Cray Inc.,"Korea, South",2010,Research,45120,0,316400,379008,0,0,,,MPP,Opteron 6172 12C 2.1GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,Eastern Asia,Asia
138,110,36,19,Haedam,Cray XE6 12-core 2.1 GHz,Korea Meteorological Administration,Cray Inc.,"Korea, South",2010,Research,45120,0,316400,379008,0,0,,,MPP,Opteron 6172 12C 2.1GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,Eastern Asia,Asia
139,112,34,21,Monte Rosa,"Cray XE6, Opteron 6272 16C 2.10 GHz, Cray Gemini interconnect",Swiss National Supercomputing Centre (CSCS),Cray Inc.,Switzerland,2011,Research,47840,0,316200,401856,2294400,0,780,405,MPP,Opteron 6272 16C 2.1GHz,AMD x86_64,2100,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,Western Europe,Europe
140,113,42,113,,"Cluster Platform DL380p Gen8 , Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2013,Industry,32604,0,311559,652080,0,0,,,Cluster,Xeon E5-2640 6C 2.5GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8 ,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
141,114,42,114,,"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",IT Service Provider (B),Hewlett-Packard,United States,2013,Industry,32436,0,310171,648720,0,0,,,Cluster,Xeon E5-2640 6C 2.5GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL360p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
142,,43,142,,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR",Heavy Industry Company,Hewlett-Packard,Japan,2014,Industry,16080,0,305803,360192,0,0,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Eastern Asia,Asia
143,115,40,81,Hercules,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),IBM,United States,2012,Government,17472,0,303965,363418,0,0,347,875,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
144,116,42,116,,"Cluster Platform DL380p Gen8 , Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2013,Industry,31524,0,302600,630480,0,0,,,Cluster,Xeon E5-2640 6C 2.5GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8 ,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
145,117,37,22,LOEWE-CSC,"SuperServer 2022TG-GIBQRF, Opteron 6172 12C 2.1GHz, Infiniband QDR, ATI HD 5870",Universitaet Frankfurt,Clustervision/Supermicro,Germany,2011,Academic,44928,24576,299300,588749,2095104,0,417,718,Cluster,Opteron 6172 12C 2.1GHz,AMD x86_64,2100,Linux,Linux,ATI HD 5870,12,"Opteron 6100-series ""Magny-Cours"" ",SuperServer 2022TG-GIBQRF,Supermicro SuperServer,Infiniband,Infiniband QDR,Western Europe,Europe
146,118,42,118,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",Banking (M),Hewlett-Packard,United States,2013,Industry,29696,0,298713,617677,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
147,119,40,85,Gaea C1,"Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect",NOAA/Oak Ridge National Laboratory,Cray Inc.,United States,2012,Research,41984,0,296000,386253,1678464,0,,,MPP,Opteron 6276 16C 2.3GHz,AMD x86_64,2300,Cray Linux Environment ,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,North America,Americas
148,,43,148,,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2690v2 10C 3GHz, 10G Ethernet",Service Provider,Hewlett-Packard,"Korea, South",2014,Industry,17920,0,295767,430080,0,0,,,Cluster,Intel Xeon E5-2690v2 10C 3GHz,Intel IvyBridge,3000,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,Eastern Asia,Asia
149,,43,149,,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2690v2 10C 3GHz, 10G Ethernet",Service Provider,Hewlett-Packard,"Korea, South",2014,Industry,17920,0,295767,430080,0,0,,,Cluster,Intel Xeon E5-2690v2 10C 3GHz,Intel IvyBridge,3000,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,Eastern Asia,Asia
150,120,42,120,Gottfried,"Cray XC30, Intel Xeon E5-2695v2 12C 2.400GHz, Aries interconnect ",HLRN at Universitaet Hannover / RRZN,Cray Inc.,Germany,2013,Academic,17856,0,295700,342835,1368192,0,,,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
151,121,42,121,Konrad,"Cray XC30, Intel Xeon E5-2695v2 12C 2.400GHz, Aries interconnect ",HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,Cray Inc.,Germany,2013,Academic,17856,0,295700,342835,1368192,0,,,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
152,122,36,21,,Cray XE6 12-core 2.2 GHz,Government,Cray Inc.,United States,2010,Government,45504,0,295500,400435,0,0,,,MPP,Opteron 6174 12C 2.2GHz,AMD x86_64,2200,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,North America,Americas
153,123,39,61,,"Cluster Platform SL390s G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet, NVIDIA 2090",IT Provider (P),Hewlett-Packard,United States,2012,Industry,31680,23040,293868,1049530,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
154,124,42,124,,"Cluster Platform DL360p Gen8, Xeon E5-2620 6C 2.000GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,United States,2013,Industry,39264,0,291793,628224,0,0,,,Cluster,Xeon E5-2620 6C 2GHz,Intel SandyBridge,2000,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL360p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
155,125,42,125,,"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2013,Industry,30000,0,289800,600000,0,0,,,Cluster,Xeon E5-2640 6C 2.5GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL360p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
156,126,41,101,,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Energy Company,Hewlett-Packard,United States,2013,Industry,18688,0,289735,388710,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
157,127,40,170,RSC Tornado SUSU,"RSC Tornado, Xeon X5680 6C 3.330GHz, Infiniband QDR, Intel Xeon Phi SE10X",South Ural State University,RSC Group,Russia,2012,Academic,28032,23424,288200,473641,980992,0,294,980,Cluster,Xeon X5680 6C 3.33GHz,Intel Nehalem,3330,CentOS,Linux,Intel Xeon Phi SE10X,6,Xeon 5600-series (Westmere-EP),RSC Tornado,RSC Cluster,Infiniband,Infiniband QDR,Eastern Europe,Europe
158,128,41,286,,"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",Logistic Services (E),Hewlett-Packard,United States,2013,Industry,29580,0,286240,591600,0,0,,,Cluster,Xeon E5-2640 6C 2.5GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL360p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
159,129,38,48,Gordon,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",UCSD/San Diego Supercomputer Center,Cray Inc.,United States,2011,Academic,16160,0,285800,336128,2558976,1279488,358,797,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,RHEL 6.2,Linux,None,8,Intel Xeon E5 (SandyBridge),Xtreme-X GreenBlade GB512X,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
160,131,41,103,,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Geoscience (P),Hewlett-Packard,United States,2013,Industry,18176,0,281797,378061,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
161,,43,161,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.5GHz, 10G Ethernet",IT Service Provider,Hewlett-Packard,Netherlands,2014,Industry,21432,0,280895,428640,0,0,,,Cluster,Xeon E5-2640 6C 2.5GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,Western Europe,Europe
162,132,41,104,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",IT Service Provider (B),Hewlett-Packard,United States,2013,Industry,19712,0,279738,410010,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
163,133,41,105,,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Geoscience (P),Hewlett-Packard,United States,2013,Industry,17920,0,277828,372736,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
164,,43,164,,"Cluster Platform SL230s/SL250s, Intel Xeon E5-2670v2  10C 2.5GHz, 10G Ethernet",Web-Service Provider,Hewlett-Packard,United States,2014,Industry,20400,0,277517,408000,0,0,,,Cluster,Intel Xeon E5-2670v2  10C 2.5GHz,Intel IvyBridge,2500,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Cluster Platform SL230s/SL250s,HP Cluster Platform 3000SL,10G,10G Ethernet,North America,Americas
165,134,42,134,HA-PACS TCA,"Cray 3623G4-SM Cluster, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband QDR, NVIDIA K20x","Center for Computational Sciences, University of Tsukuba",Cray Inc.,Japan,2013,Academic,4864,3584,277100,364288,896960,0,93,2980,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,CentOS,Linux,NVIDIA K20x,10,Intel Xeon E5 (IvyBridge),Cray 3623G4-SM Cluster,Cray Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
166,135,42,135,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",Service Provider,Hewlett-Packard,United States,2013,Industry,19456,0,276419,404685,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
167,136,33,10,JUROPA,"Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation",Forschungszentrum Juelich (FZJ),Bull SA,Germany,2009,Research,26304,0,274800,308283,0,0,1549,177,Cluster,Xeon X5570 4C 2.93GHz,Intel Nehalem,2930,SUSE Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),NovaScale R422-E2/Sun Blade 6048 system,Sun-Bull-ParTec Cluster,Infiniband,Infiniband QDR Sun M9 / Mellanox / ParTec,Western Europe,Europe
168,137,34,14,TachyonII,"Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition",KISTI Supercomputing Center,Sun Microsystems,"Korea, South",2009,Research,26232,0,274800,307439,0,0,1275,216,Cluster,Xeon X5570 4C 2.93GHz,Intel Nehalem,2930,CentOS,Linux,None,4,Xeon 5500-series (Nehalem-EP),Sun Blade 6048,Sun Blade System,Infiniband,Infiniband,Eastern Asia,Asia
169,138,42,138,TEIDE-HPC,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Instituto Tecnológico y de Energías Renovables S.A.,Fujitsu,Spain,2013,Research,16384,0,273973,340787,1887312,1334592,312,878,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,CentOS,Linux,None,8,Intel Xeon E5 (SandyBridge),Fujitsu PRIMERGY CX250 S1,Fujitsu Cluster,Infiniband,Infiniband QDR,Southern Europe,Europe
170,139,38,330,Todi,"Cray XK7 , Opteron 6272 16C 2.100GHz, Cray Gemini interconnect, NVIDIA Tesla K20 Kepler",Swiss National Supercomputing Centre (CSCS),Cray Inc.,Switzerland,2011,Research,8160,3808,273700,392877,756480,0,129,2115,MPP,Opteron 6272 16C 2.1GHz,AMD x86_64,2100,Cray Linux Environment ,Linux,NVIDIA K20x,16,"Opteron 6200 Series ""Interlagos""",Cray XK7 ,Cray XK,Cray Interconnect,Cray Gemini interconnect,Western Europe,Europe
171,140,41,109,Laure,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",TOTAL,SGI,United States,2013,Industry,13824,0,271754,287539,2359296,0,319,852,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas
172,141,42,141,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Automative Company,Hewlett-Packard,United States,2013,Industry,15360,0,271245,319488,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,North America,Americas
173,142,40,93,Dark Bridge,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Sandia National Laboratories,Cray Inc.,United States,2012,Research,14720,0,268100,306176,2577260,1288630,316,849,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
174,143,40,92,Dark Sand,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Sandia National Laboratories,Cray Inc.,United States,2012,Research,14720,0,268100,306176,2577260,1288630,389,690,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
175,144,41,112,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2650 8C 2.000GHz, 10G Ethernet",Cerner Corp.,Hewlett-Packard,United States,2013,Industry,25856,0,266942,413696,0,0,,,Cluster,Xeon E5-2650 8C 2GHz,Intel SandyBridge,2000,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
176,145,37,81,Zeus,"Cluster Platform SL390/BL2x220, Xeon X5650 6C 2.660GHz, Infiniband QDR, NVIDIA 2090",Cyfronet,Hewlett-Packard,Poland,2011,Academic,25468,3328,266942,373890,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390/BL2x220,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Europe,Europe
177,146,41,114,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2013,Industry,18440,0,263165,383552,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
178,147,42,147,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",IT Service Provider (C),Hewlett-Packard,Canada,2013,Industry,18432,0,263060,383386,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
179,,43,179,SRD CAE,"Cluster Platform SL230s Gen8, Intel Xeon E5-2637v2/E5-2643v2/E5-2667v2 3.5/3.3GHz, 10G Ethernet",Samsung Electronics DS,Hewlett-Packard,"Korea, South",2014,Industry,21016,0,262920,582739,2357376,0,,,Cluster,Intel Xeon E5-2637v2 4C 3.5GHz,Intel IvyBridge,3500,Linux,Linux,None,4,Intel Xeon E5 (IvyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,10G,10G Ethernet,Eastern Asia,Asia
180,148,33,16,GPC,"xSeries iDataPlex, Xeon E5540 4C 2.53GHz, Infiniband",SciNet/University of Toronto/Compute Canada,IBM,Canada,2009,Research,30912,0,261631,312829,2526944,0,1030,254,Cluster,Xeon E5540 4C 2.53GHz,Intel Nehalem,2530,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
181,260,36,146,CSIRO GPU Cluster,"Nitro G16 3GPU, Xeon E5-2650 8C 2GHz, Infiniband FDR, Nvidia K20m",CSIRO,Xenon Systems,Australia,2010,Government,5376,3328,260300,333481,1261568,0,,,Cluster,Xeon E5-2650 8C 2GHz,Intel SandyBridge,2000,Linux,Linux,Nvidia K20m,8,Intel Xeon E5 (SandyBridge),Nitro G16 3GPU,Xenon Cluster,Infiniband,Infiniband FDR,Australia and New Zealand,Oceania
182,149,42,149,,"Cluster Platform DL380p Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet",IT Service Provider (B),Hewlett-Packard,United States,2013,Industry,29064,0,259299,534778,0,0,,,Cluster,Xeon E5-2630 6C 2.3GHz,Intel SandyBridge,2300,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8 ,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
183,150,41,117,,"Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2013,Industry,33920,0,257879,542720,0,0,,,Cluster,Xeon E5-2650 8C 2GHz,Intel SandyBridge,2000,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8 ,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
184,,43,184,EOS,"Bullx DLC B710 Blades, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR",CALMIP / University of Toulouse,Bull SA,France,2014,Academic,12240,0,255078,274176,2018352,0,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,bullx SCS,Linux,None,10,Intel Xeon E5 (IvyBridge),Bullx DLC B710 Blades,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
