green500rank,mflopswatt,site,Computer,power
191,620.96,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.6GHz, 10G Ethernet",579.48
192,620.96,Telecommunication Company,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.6GHz, 10G Ethernet",361.69
193,609.67,"National Computational Infrastructure, Australian National University","Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","1,605.12"
194,608.17,Clemson University,"Palmetto2 - Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.4GHz/E5-2670v2, Infiniband FDR, Nvidia K20m",906
195,591.44,HLRN at Universitaet Hannover / RRZN,"Gottfried - Cray XC30, Intel Xeon E5-2695v2 12C 2.400GHz, Aries interconnect",499.97
196,591.44,HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,"Konrad - Cray XC30, Intel Xeon E5-2695v2 12C 2.400GHz, Aries interconnect",499.97
197,590.23,"Research Institute for Information Technology, Kyushu University","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect",282.43
198,582,NOAA/Oak Ridge National Laboratory,"Gaea C2 - Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect",972
199,568.11,National Astronomical Observatory of Japan,"Aterui - Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect",740
200,563.47,Météo France,"Prolix - Bullx DLC B710 Blades, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR",825
201,562.27,"International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Helios - Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","2,200.00"
202,558.45,Météo France,"Beaufix - Bullx DLC B710 Blades, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR",840
203,511.17,Institute for Molecular Science,"Fujitsu PRIMERGY CX250 & RX300, Xeon E5-2690 8C 2.900GHz, Infiniband FDR/QDR",465.4
204,500.15,CALMIP / University of Toulouse,"EOS - Bullx DLC B710 Blades, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR",510
205,496.8,Government,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect","6,327.55"
206,492.64,National Supercomputing Centre in Shenzhen (NSCS),"Nebulae - Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","2,580.00"
207,487.36,University of Arizona,"EL GATO - iDataPlex DX360M4, Intel Xeon E5-2650v2 8C 2.6GHz, Infiniband FDR14, NVIDIA K20/K20x, Xeon Phi 5110P",326.25
208,483.12,Universitaet Mainz,"MOGON - Saxonid 6100, Opteron 6272 16C 2.100GHz, Infiniband QDR",467
209,467.72,University of Bergen,"Hexagon - Cray XE6m-200, Opteron 6276 16C 2.300GHz, Cray Gemini interconnect",342.3
210,457.94,Environment Canada,"Power 775, POWER7 8C 3.84 GHz, Custom",462.3
211,457.94,Environment Canada,"Power 775, POWER7 8C 3.84 GHz, Custom",462.3
212,457.93,United Kingdom Meteorological Office,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","1,040.18"
213,457.93,ECMWF,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","1,386.91"
214,457.93,ECMWF,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","1,386.91"
215,457.93,United Kingdom Meteorological Office,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",866.82
216,457.93,IBM Poughkeepsie Benchmarking Center,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",390.07
217,456.28,Texas Advanced Computing Center/Univ. of Texas,"Maverick - Cluster Platform SL250s Gen8, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, Nvidia K40m",346.5
218,449.41,HWW/Universitaet Stuttgart,"HERMIT - Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","1,850.00"
219,443.08,Calcul Canada/Calcul Québec/Université de Sherbrooke,"Rackable C2112-4G3 Cluster, Opteron 12 Core 2.10 GHz, Infiniband QDR",542.34
220,441.6,DOE/SC/LBNL/NERSC,"Edison - Cray XC30, Intel Xeon E5-2695v2 12C 2.4GHz, Aries interconnect","3,747.07"
221,438.43,"Institute for Materials Research, Tohoku University (IMR)","Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom",556.3
222,429.31,Government,"Sunway 4000H Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR",339.15
223,426.72,Los Alamos National Laboratory,"Mustang - Xtreme-X 1320H-LANL, Opteron 12 Core 2.30 GHz, Infiniband QDR",540.4
224,423.7,IBM Development Engineering,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","3,575.63"
225,415.11,DOE/Bettis Atomic Power Laboratory,"Cray CS300-AC, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",445.2
226,415.11,Knolls Atomic Power Laboratory,"Cray CS300-AC, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",445.2
227,405.38,Swiss National Supercomputing Centre (CSCS),"Monte Rosa - Cray XE6, Opteron 6272 16C 2.10 GHz, Cray Gemini interconnect",780
228,404.45,CLUMEQ - McGill University,"Guillimin - iDataPlex DX360M3, Xeon 2.66, Infiniband",337
229,400.68,Taiwan National Center for High-performance Computing,"ALPS - Acer AR585 F1 Cluster, Opteron 12C 2.2GHz, QDR infiniband",442
230,384.75,IT Services Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",604.8
231,379.18,Airbus,"HPC4 - HP POD - Cluster Platform BL460c, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","1,363.20"
232,379.18,Airbus,"HPC4 - HP POD - Cluster Platform BL460c, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","1,056.00"
233,378.77,King Abdullah University of Science and Technology,Shaheen - Blue Gene/P Solution,504
234,362.2,DOE/SC/LBNL/NERSC,"Hopper - Cray XE6, Opteron 6172 12C 2.10GHz, Custom","2,910.00"
235,361.79,University of Edinburgh,"HECToR - Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","1,824.93"
236,358.67,IT Service Provider,"Cluster Platform SL241n, Xeon E3-1280v3 4C 3.6GHz, Gigabit Ethernet",664.2
237,357.24,National Institute for Fusion Science (NIFS),"Plasma Simulator - Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom Interconnect",708.2
238,355.58,Vienna Scientific Cluster,"VSC-2 - MEGWARE Saxonid 6100, Opteron 6132 HE 8C 2.2GHz, Infiniband QDR",430
239,330.98,Vestas Wind Systems A/S,"iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR",489.75
240,330.98,EDF R&D,"Ivanhoe - iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband",510
241,326.02,Energy Company,"Cluster Platform SL210t, Intel Xeon E5-2695v2 12C 2.4GHz, Infiniband FDR",470.4
242,322.11,Moscow State University - Research Computing Center,"Lomonosov - T-Platforms T-Blade2/1.1, Xeon X5570/X5670/E5630 2.93/2.53 GHz, Nvidia 2070 GPU, PowerXCell 8i Infiniband QDR","2,800.00"
243,314.15,Communications,"BladeCenter HS23 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",514.3
244,313.94,Manufacturing Company,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",475.2
245,313.94,Automative Company,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",864
246,308.78,Communications,"BladeCenter HS23 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",521.2
247,307.25,Geoscience (P),"Cluster Platform SL210t, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband QDR",768
248,281.3,Hewlett-Packard,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband QDR",768
249,278.89,DOE/NNSA/LANL/SNL,"Cielo - Cray XE6, Opteron 6136 8C 2.40GHz, Custom","3,980.00"
250,272.96,Financial Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, 10G Ethernet",578.7
251,271.3,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",583.9
252,271.3,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",583.9
253,271.3,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",583.9
254,271.3,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",583.9
255,271.3,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",583.9
256,271.3,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",583.9
257,271.3,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",583.9
258,271.28,Banking (M),"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",573.3
259,271.28,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",562
260,271.28,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",562
261,271.28,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",562
262,271.26,Financial Institution,"iDataPlex DX360M4, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",588.3
263,269.92,Automotive Services,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.7GHz, 10G Ethernet",725.4
264,268.79,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, 10G Ethernet",655.2
265,268.79,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, 10G Ethernet",655.2
266,268.79,Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2680 8C 2.700GHz, 10G Ethernet",780.3
267,265.87,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",533.7
268,265.81,Saudi Aramco EXPEC,"Faris - Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband QDR","3,072.00"
269,265.81,Consumer goods Company,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband QDR",519
270,265.3,IT Service Provider (D),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",949.05
271,264.19,Insurance Company,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",511.2
272,263.51,Logistic Services (E),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",534.6
273,263.51,IT Services Provider (B),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",528.3
274,263.19,Electrionic Industry,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",561.6
275,262.47,Manufacturing Company,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",597.6
276,262.47,Manufacturing Company,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",547.2
277,262.15,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",613.8
278,262.12,Universitaet Paderborn - PC2,"OCuLUS (Owl CLUSter) - Clustervision CV-AIRE5, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",720
279,261.23,IT Service Provider (B),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",660.15
280,260.12,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",715.5
281,260.12,Electrionic Industry,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",646.2
282,260.07,IT Services Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",718.2
283,259.62,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",740.7
284,259.6,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",741.6
285,259.17,IT Services Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",763.2
286,259.17,IT Services Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",552.6
287,255.83,Cenaero,"Zenobe - bullx B500/B510 cluster, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband QDR",654.63
288,254.01,SciNet/University of Toronto/Compute Canada,"GPC - xSeries iDataPlex, Xeon E5540 4C 2.53GHz, Infiniband","1,030.00"
289,253.72,IT Service Provider (C),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,036.80"
290,253.71,IT Service Provider (D),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,037.25"
291,253.57,Aerospace Company,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR","1,632.00"
292,253.57,Heavy Industry Company,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR","1,206.00"
293,252.58,Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,094.40"
294,252.58,Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",756
295,252.29,IT Service Provider (B),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,108.80"
296,252.18,Georgia Institute of Technology,"Keeneland - Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, NVIDIA 2090","1,267.20"
297,252.06,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",668.9
298,252.06,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",668.9
299,252.06,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",668.9
300,252.06,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",668.9
301,251.58,IT Services,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.500GHz, 10G Ethernet",639.23
302,249.42,IT Service Provider (C),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.5GHz, 10G Ethernet",751.95
303,245.59,Air Force Research Laboratory,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","1,382.40"
304,244.51,IT Provider (P),"Cluster Platform SL230s Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR","2,001.60"
305,241.97,Lawrence Livermore National Laboratory,"Sierra - Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR",688.94
306,240.45,VSC / Flemish Supercomputer Center,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.60GHz, Infiniband FDR",633.6
307,237.86,Petróleo Brasileiro S.A,"Grifo06 - Itautec Cluster, Xeon E5-2643 4C 3.300GHz, Infiniband FDR, NVIDIA 2075",673.92
308,237.54,CSC (Center for Scientific Computing),"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",690
309,235.73,Internet Service,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",672
310,235.46,Manufacturing Company,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",994.8
311,235.46,Automative Company,"Cluster Platform SL230s Gen8, Intel Xeon E5-2650v2 8C 2.6GHz, Infiniband FDR",595.2
312,235.46,IT Provider (P),"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","1,064.40"
313,235.46,IT Provider (P),"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","1,064.40"
314,235.42,Service Provider,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",645.7
315,235.41,Bank (J),"BladeCenter HS23 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",691.3
316,235.41,Engineering Company,"xSeries x3550M3 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",627.35
317,235.41,Engineering Company,"xSeries x3550M3 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",627.35
318,235.41,Engineering Company,"xSeries x3550M3 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",627.35
319,235.41,Engineering Company,"xSeries x3550M3 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",627.35
320,235.41,Banking (M),"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",576.03
321,235.41,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",617.01
322,235.41,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",617.01
323,235.41,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",617.01
324,235.41,Engineering Company,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",689.4
325,235.41,Engineering Company,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",649.57
326,235.41,Telecommunication Company,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",653.4
327,235.41,Service Provider,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.700GHz, Gigabit Ethernet",645.74
328,235.4,Telecommunication Company,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",570.29
329,235.4,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",694
330,235.4,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",694
331,235.4,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",694
332,235.4,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",694
333,235.4,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",694
334,235.4,Electronics,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.6GHz, Gigabit Ethernet",694
335,234.9,IT Service Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",614.4
336,233,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.5GHz, 10G Ethernet","1,609.20"
337,233,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2640 6C 2.5GHz, 10G Ethernet","1,205.55"
338,232.12,"Information Technology Center, Nagoya University","Fujitsu PRIMERGY CX400, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR, Xeon Phi 3120p","1,369.55"
339,230.94,Financial Services (H),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2630 6C 2.300GHz, 10G Ethernet",717.53
340,230.32,Japan Atomic Energy Agency (JAEA),"BX900 Xeon X5570 2.93GHz , Infiniband QDR",831
341,228.76,Commissariat a l'Energie Atomique (CEA),Tera-100 - Bull bullx super-node S6010/S6030,"4,590.00"
342,226.4,IT Service Provider,"Cluster Platform SL250s Gen8, Intel Xeon E5-2670v2 10C 2.5GHz, Infiniband FDR","1,399.50"
343,226.33,Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","2,410.20"
344,225.03,University of Tokyo/Institute for Solid State Physics,"SGI ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband",719
345,223.83,Research Center,"Cluster Platform SL250s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR, NVIDIA 2090",604.8
346,223.5,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),"Jade - SGI ICE 8200EX, Xeon E5450 4C 3.000GHz, Infiniband","1,064.00"
347,221.95,Banking,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",605.7
348,221.51,Automotive,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",631.8
349,220.6,Kyoto University,"Camphor - Cray XE6, Opteron 16C 2.50GHz, Cray Gemini interconnect","1,140.96"
350,220.42,University of Southern California,"HPC - PowerEdge 1950/SunFire X2200/IBM dx340/dx360/HP SL160/DL165, Xeon/Opteron 2.3-2.67GHz, Myrinet 10G",680.06
351,220.07,Electronic Industry,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2690v2 10C 3GHz, 10G Ethernet","1,059.00"
352,220.06,Service Provider,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2690v2 10C 3GHz, 10G Ethernet","1,344.00"
353,220.06,Service Provider,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2690v2 10C 3GHz, 10G Ethernet","1,344.00"
354,220.06,Electronics Company,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2690v2 10C 3GHz, 10G Ethernet",774
355,219.71,Banking (M),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",738.9
356,219.48,Banking (M),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.2GHz, 10G Ethernet",752.4
357,217.54,Telecommunication Company,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",867.6
358,217.46,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, 10G Ethernet",872.1
359,215.53,KISTI Supercomputing Center,"TachyonII - Sun Blade x6048, X6275, IB QDR M9 switch, Sun HPC stack Linux edition","1,275.00"
360,210.77,IT Services Provider,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","1,104.00"
361,209.87,Telecommunication Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",767.9
362,209.87,Telecommunication Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",767.9
363,209.87,Telecommunication Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",767.9
364,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
365,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
366,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
367,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
368,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
369,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
370,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
371,209.86,Engineering Company,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2 10C 2.8GHz, Gigabit Ethernet",777.6
372,209.55,ERDC DSRC,"Garnet - Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect","5,569.00"
373,206.98,ERDC DSRC,"Diamond - SGI ICE 8200 Enh. LX, Xeon X5560 2.8Ghz",774
374,206.72,Energy Company,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","1,401.60"
375,206.72,Geoscience (P),"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","1,363.20"
376,206.72,Geoscience (P),"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","1,344.00"
377,202.82,Logistic Services (E),"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, 10G Ethernet",950.4
378,197.82,Energy Company,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",710.4
379,197.55,Retail,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.6GHz, 10G Ethernet",734.4
380,196.85,Government,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2650 8C 2.000GHz, 10G Ethernet",927
381,196.01,Digital Media,"iDataPlex DX360M3, Xeon E5645 6C 2.4GHz, Gigabit Ethernet",797.6
382,193.86,Energy Company,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,917.60"
383,191.49,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2680v2 10C 2.8GHz, 10G Ethernet","2,496.00"
384,190.11,Retail,"Cluster Platform SL250s Gen8, Intel Xeon E5-2670v2 10C 2.5GHz, 10G Ethernet",720
385,189.14,Energy Company (D),"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","2,419.20"
386,189.14,Energy Company,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,152.00"
387,189.14,Energy Company (D),"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","1,070.40"
388,188.91,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",903.6
389,188.91,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",903.6
390,188.91,IT Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",855
391,188.91,Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",819
392,188.91,Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",819
393,188.91,Service Provider,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",772.2
394,188.67,IT Services Provider (D),"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",922.05
395,188.08,Cambridge University,"Darwin - Dell PowerEdge C6220, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",975
396,185.87,NOAA/Oak Ridge National Laboratory,"Gaea C1 - Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect","1,592.48"
