Green500_Rank,Rmax,Power,How?,Mflops_Per_Watt,Total Cores,Year,Name,Manufacturer,Computer,Site,Country,Segment,Top500_Rank,Accelerator/Co-Processor Cores,Rpeak,Efficiency (%),Nmax,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
388,122711,698.1,Submission,175.7785418,23508,2012,,IBM,"BladeCenter HS22 Cluster (WM), Xeon L5639 6C 2.130GHz, Infiniband",System Integrator,United States,Industry,341,0,200288,61.27,0,Cluster,Xeon L5639 6C 2.130GHz,Intel Nehalem,2130,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
389,237200,1380.07173,Derived,171.8751242,36384,2011,Lindgren,Cray Inc.,"Cray XE6, Opteron 12 Core 2.10 GHz, Custom",KTH - Royal Institute of Technology,Sweden,Academic,131,0,305625.6,77.61,0,MPP,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours""",Cray XE6,Cray XE,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
390,295500,1726.32,Derived,171.173363,45504,2010,,Cray Inc.,Cray XE6 12-core 2.2 GHz,Government,United States,Classified,99,0,400435,73.79,0,MPP,Opteron 6174 12C 2.200GHz,AMD x86_64,2200,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours""",Cray XE6,Cray XE,Custom Interconnect,Custom Interconnect,North America,Americas
391,132800,786,Top500,168.956743,14384,2008,EKA,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon X5365 4C 3.000GHz, Infiniband DDR","Computational Research Laboratories, TATA SONS",India,Industry,291,0,172608,76.94,1850000,Cluster,Xeon X5365 4C 3.000GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5300-series ""Clovertown""",Cluster Platform 3000 BL460c,HP Cluster Platform 3000BL,Infiniband,Infiniband DDR,South-central Asia,Asia
392,386708,2295,Derived,168.5002179,30600,2013,PARAM Yuva - II,Netweb Technologies,"R2208GZ Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",Center for Development of Advanced Computing (C-DAC),India,Research,69,27000,529380,73.05,1230000,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,CentOS,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),R2208GZ Cluster,Netweb Cluster,Infiniband,Infiniband FDR,South-central Asia,Asia
393,152200,912.8,Derived,166.739702,15648,2010,MRI,Dell,"PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband",University of Colorado,United States,Academic,240,0,175257.6,86.84,1757600,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),PowerEdge C6100 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
394,114400,696,Derived,164.3678161,6960,2012,EMERALD,Hewlett-Packard,"Cluster Platform SL390s G7, Xeon E5649 6C 2.530GHz, Infiniband QDR, NVIDIA 2090",Science and Technology Facilities Council - Rutherford Appleton Laboratory,United Kingdom,Academic,379,5952,257581,44.41,494592,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Northern Europe,Europe
395,160882.8,1014.3,Derived,158.6146111,18032,2012,,Hewlett-Packard,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, Gigabit Ethernet",IT Services Provider,Russia,Industry,217,0,317363,50.69,0,Cluster,Xeon E5-2660 8C 2.200GHz,Intel SandyBridge,2200,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe
396,219838,1449.12,Derived,151.7044827,25448,2011,RWTH Compute Cluster (RCC),Bull SA,"Bullx B500 Cluster, Xeon X56xx 3.06Ghz, QDR Infiniband",Universitaet Aachen/RWTH,Germany,Academic,142,0,270538,81.26,2145920,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Bullx B500 Cluster,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
397,251800,1670.78,Derived,150.7080525,22656,2011,Lonestar 4,Dell,"Dell PowerEdge M610 Cluster, Xeon 5680 3.3Ghz, Infiniband QDR",Texas Advanced Computing Center/Univ. of Texas,United States,Academic,119,0,301777,83.44,2128224,Cluster,Xeon X5680 6C 3.330GHz,Intel Nehalem,3330,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),PowerEdge M610 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
398,214200,1442.64,Derived,148.4777907,31104,2010,Tup,Cray Inc.,"Cray XE6, Opteron 6172 12C 2.10GHz, Cray Gemini interconnect",INPE (National Institute for Space Research),Brazil,Research,145,0,261273.6,81.98,1491840,MPP,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Cray Linux Environment,Linux,None,12,"Opteron 6100-series ""Magny-Cours""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,South America,Americas
399,157240,1104,Derived,142.4275362,14720,2012,,Hewlett-Packard,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",IT Services Provider,United States,Industry,227,0,306176,51.36,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
400,157240,1104,Derived,142.4275362,14720,2012,,Hewlett-Packard,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",IT Services Provider,United States,Industry,228,0,306176,51.36,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
401,123057,864,Derived,142.4270833,11520,2013,,Hewlett-Packard,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",IT Services Provider,United States,Industry,339,0,239616,51.36,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
402,123057,864,Derived,142.4270833,11520,2013,,Hewlett-Packard,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",IT Services Provider,United States,Industry,340,0,239616,51.36,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
403,161261,1134,Derived,142.2054674,15120,2013,,Hewlett-Packard,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",IT Services Provider,United States,Industry,215,0,314496,51.28,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,10G,10G Ethernet,North America,Americas
404,176420,1248,Derived,141.3621795,16640,2013,,Hewlett-Packard,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",IT Services Provider,United States,Industry,194,0,346112,50.97,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
405,176420,1248,Derived,141.3621795,16640,2013,,Hewlett-Packard,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",IT Services Provider,United States,Industry,195,0,346112,50.97,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
406,182746,1296,Derived,141.007716,17280,2013,,Hewlett-Packard,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",Computacenter (UK) LTD,United Kingdom,Industry,185,0,359424,50.84,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
407,266942,1910.1,Derived,139.7528925,25468,2011,Zeus,Hewlett-Packard,"Cluster Platform SL390/BL2x220, Xeon X5650 6C 2.660GHz, Infiniband QDR, NVIDIA 2090",Cyfronet,Poland,Academic,113,3328,373889.6,71.4,0,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390/BL2x220,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Europe,Europe
408,103835,744.3,Derived,139.5069193,9924,2013,,Hewlett-Packard,"Cluster Platform DL380p Gen8 , Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",IT Services Provider,United States,Industry,440,0,198480,52.32,0,Cluster,Xeon E5-2640 6C 2.500GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
409,110221,792,Derived,139.1679293,10560,2013,,Hewlett-Packard,"Cluster Platform DL380p Gen8 , Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",Logistic Services (E),United States,Industry,398,0,211200,52.19,0,Cluster,Xeon E5-2640 6C 2.500GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
410,130486,945,Derived,138.0804233,12600,2013,,Hewlett-Packard,"Cluster Platform DL380p Gen8 , Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",Telecommunication Company,China,Industry,300,0,252000,51.78,0,Cluster,Xeon E5-2640 6C 2.500GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
411,134852,978.3,Derived,137.8431974,13044,2013,,Hewlett-Packard,"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",Logistic Services (E),United States,Industry,286,0,260880,51.69,0,Cluster,Xeon E5-2640 6C 2.500GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL360p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
412,153900,1125,Derived,136.8,15000,2013,,Hewlett-Packard,"Cluster Platform DL380e Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet",Telecommunication Company,China,Industry,236,0,300000,51.3,0,Cluster,Xeon E5-2640 6C 2.500GHz,Intel SandyBridge,2500,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL380e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
413,243900,1814.4,Derived,134.4246032,24192,2011,,Hewlett-Packard,"HP POD - Cluster Platform 3000 BL260c G6, X5675 3.06 GHz, Infiniband",Airbus,France,Industry,123,0,296110,82.37,0,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL260c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Western Europe,Europe
414,118071,888.6,Derived,132.8730587,11848,2013,,Hewlett-Packard,"Cluster Platform DL388p, Xeon E5-2609  4C 2.400GHz, Gigabit Ethernet",Telecommunication Company,China,Industry,362,0,227482,51.9,0,Cluster,Xeon E5-2609  4C 2.400GHz,Intel SandyBridge,2400,Linux,Linux,None,4,Intel Xeon E5 (SandyBridge),Cluster Platform DL388p,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
415,119426,898.8,Derived,132.8727192,11984,2013,,Hewlett-Packard,"Cluster Platform DL388p, Xeon E5-2609  4C 2.400GHz, Gigabit Ethernet",Telecommunication Company,China,Industry,358,0,230093,51.9,0,Cluster,Xeon E5-2609  4C 2.400GHz,Intel SandyBridge,2400,Linux,Linux,None,4,Intel Xeon E5 (SandyBridge),Cluster Platform DL388p,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
416,127081,959.4,Derived,132.4588284,12792,2013,,Hewlett-Packard,"Cluster Platform DL380p Gen8 , Xeon E5-2609  4C 2.400GHz, Gigabit Ethernet",IT Services Provider (B),China,Industry,316,0,245606,51.74,0,Cluster,Xeon E5-2609  4C 2.400GHz,Intel SandyBridge,2400,Linux,Linux,None,4,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
417,111265,840,Derived,132.4583333,11200,2013,,Hewlett-Packard,"Cluster Platform DL380p Gen8 , Xeon E5-2609  4C 2.400GHz, Gigabit Ethernet",IT Services Provider (B),China,Industry,392,0,215040,51.74,0,Cluster,Xeon E5-2609  4C 2.400GHz,Intel SandyBridge,2400,Linux,Linux,None,4,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
418,102200,776.42,Derived,131.629788,13552,2009,Hera,Cray Inc.,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Lawrence Livermore National Laboratory,United States,Research,458,0,127200,80.35,1651780,Cluster,Opteron Quad Core 4C 2.300GHz,AMD x86_64,2300,Redhat Linux,Linux,None,4,Opteron Quad Core,Appro XtremeServers,Appro XtremeServer,Infiniband,Infinband DDR 4x,North America,Americas
419,322900,2456.4,Derived,131.4525322,27600,2011,Zeus,SGI,"SGI Altix ICE 8400EX, Xeon X5690 6C 3.470GHz, Infiniband QDR",NOAA Environmental Security Computer Center,United States,Research,86,0,382648.32,84.39,2322432,MPP,Xeon X5690 6C 3.470GHz,Intel Nehalem,3470,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),SGI ICE 8400EX,SGI Altix,Infiniband,Infiniband QDR,North America,Americas
420,419387,3244.8,Derived,129.2489522,43264,2013,,Hewlett-Packard,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet, NVIDIA 2075",IT Service Provider,United States,Industry,64,10976,1075350,39,0,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,NVIDIA 2075,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,10G,10G Ethernet,North America,Americas
421,120264,946.8,Derived,127.0215463,12624,2013,,Hewlett-Packard,"Cluster Platform DL160 Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet",Web Content Provider,United States,Industry,352,0,232282,51.77,0,Cluster,Xeon E5-2630 6C 2.300GHz,Intel SandyBridge,2300,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL160 Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
422,126446,998.1,Derived,126.6867047,13308,2013,,Hewlett-Packard,"Cluster Platform DL360p Gen8, Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet",Telecommunication Company,Japan,Industry,319,0,244867,51.64,0,Cluster,Xeon E5-2630 6C 2.300GHz,Intel SandyBridge,2300,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL360p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
423,129986.1,1046.67,Derived,124.1901459,13980,2012,,Hewlett-Packard,"Cluster Platform 3000 BL280c G6, Xeon X5675 6C 3.06GHz, Infiniband QDR",Manufacturing Company,United States,Industry,303,0,171115,75.96,0,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL280c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,North America,Americas
424,150289,1210.5,Derived,124.1544816,16140,2013,,Hewlett-Packard,"Cluster Platform DL360p Gen8, Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet",IT Services Provider,United States,Industry,242,0,296976,50.61,0,Cluster,Xeon E5-2630 6C 2.300GHz,Intel SandyBridge,2300,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL360p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
425,120231,968.4,Derived,124.1542751,12912,2013,,Hewlett-Packard,"Cluster Platform DL360p Gen8, Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet",IT Services Provider,United States,Industry,353,0,237581,50.61,0,Cluster,Xeon E5-2630 6C 2.300GHz,Intel SandyBridge,2300,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL360p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
426,171966,1385.1,Derived,124.1542127,18468,2013,,Hewlett-Packard,"Cluster Platform DL360p Gen8, Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet",IT Services Provider,United States,Industry,202,0,339811,50.61,0,Cluster,Xeon E5-2630 6C 2.300GHz,Intel SandyBridge,2300,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL360p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
427,101741,831,Top500,122.4320096,15104,2009,T2K Open Supercomputer (Todai Combined Cluster),Hitachi,Hitachi opteron QC 2.3 GHz Myrinet 10G,"Information Technology Center, The University of Tokyo",Japan,Academic,462,0,138956,73.22,1740800,Cluster,Opteron Quad Core 4C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,4,Opteron Quad Core,Hitachi Cluster,Hitachi Cluster,Myrinet,Myrinet 10G,Eastern Asia,Asia
428,227236,1879.2,Derived,120.9216688,25056,2013,,Hewlett-Packard,"Cluster Platform DL160 Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet",Telecommunication Company,Japan,Industry,138,0,461030,49.29,0,Cluster,Xeon E5-2630 6C 2.300GHz,Intel SandyBridge,2300,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL160 Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
429,234248,1944,Derived,120.4979424,25920,2013,,Hewlett-Packard,"Cluster Platform DL380p Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet",Web-Service Provider,Hong Kong,Industry,132,0,476928,49.12,0,Cluster,Xeon E5-2630 6C 2.300GHz,Intel SandyBridge,2300,Linux,Linux,None,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
430,107100,911.36,Derived,117.5166784,10240,2009,,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",HLRN at Universitaet Hannover / RRZN,Germany,Academic,420,0,120729.6,88.71,1535480,MPP,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,SLES10 + SGI ProPack 5,Linux,None,4,Xeon 5500-series (Nehalem-EP),SGI ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
431,107100,911.36,Derived,117.5166784,10240,2009,,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,Germany,Academic,421,0,120729.6,88.71,1535480,MPP,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,SLES10 + SGI ProPack 5,Linux,None,4,Xeon 5500-series (Nehalem-EP),SGI ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
432,131600,1139,Top500,115.5399473,18224,2008,Juno,Cray Inc.,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband",Lawrence Livermore National Laboratory,United States,Research,295,0,162200,81.13,1854663,Cluster,Opteron Quad Core 4C 2.200GHz,AMD x86_64,2200,Redhat Linux,Linux,None,4,Opteron Quad Core,Appro XtremeServer 1143H,Appro XtremeServer,Infiniband,Infiniband,North America,Americas
433,461793,4032,Derived,114.531994,40320,2012,,Hewlett-Packard,"Cluster Platform SL390s G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet, NVIDIA 2090",Geoscience (P),United States,Industry,56,23040,1141459,40.46,0,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
434,413500,3628.8,Derived,113.949515,24192,2012,HPCEE,SGI,"SGI Rackable C2112-4RP3, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",DOE/National Energy Technology Laboratory,United States,Research,67,0,503194,82.18,2422554,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI Rackable C2112-4RP3,Rackable Cluster,Infiniband,Infiniband QDR,North America,Americas
435,101213.2,910.18,Derived,111.2013008,10304,2010,,Hewlett-Packard,"Cluster Platform 3000 BL 2x220, Xeon E5450 4C 3.000GHz, Infiniband QDR",Kurchatov Institute Moscow,Russia,Research,464,0,123648,81.86,0,Cluster,Xeon E5450 4C 3.000GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Eastern Europe,Europe
436,99779,900,Derived,110.8655556,12000,2013,,Hewlett-Packard,"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet",Web Content Provider,United States,Industry,473,0,201600,49.49,0,Cluster,Xeon E5-2450 8C 2.100GHz,Intel SandyBridge,2100,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL360e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
437,199824,1802.4,Derived,110.8655126,24032,2013,,Hewlett-Packard,"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet",Web Content Provider,United States,Industry,155,0,403736,49.49,0,Cluster,Xeon E5-2450 8C 2.100GHz,Intel SandyBridge,2100,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL360e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
438,119962,1094.4,Derived,109.6144006,14592,2013,,Hewlett-Packard,"Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet",Computacenter (UK) LTD,United Kingdom,Industry,354,0,233472,51.38,0,Cluster,Xeon E5-2650 8C 2.000GHz,Intel SandyBridge,2000,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
439,100494,916.8,Derived,109.6138743,12224,2013,,Hewlett-Packard,"Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet",IT Services Provider (B),China,Industry,470,0,195584,51.38,0,Cluster,Xeon E5-2650 8C 2.000GHz,Intel SandyBridge,2000,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
440,224670,2054.4,Derived,109.3603972,27392,2013,,Hewlett-Packard,"Cluster Platform DL380e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet",Service Provider,China,Industry,140,0,460186,48.82,0,Cluster,Xeon E5-2450 8C 2.100GHz,Intel SandyBridge,2100,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL380e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
441,110600,1020,Top500,108.4313725,12032,2009,,Fujitsu,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR",JAXA,Japan,Research,394,0,121282,91.19,3308800,Cluster,SPARC64 VII 4C 2.500GHz,Sparc,2500,Open Solaris,Unix,None,4,SPARC64 VII,Fujitsu FX1,Fujitsu Cluster,Infiniband,Infiniband DDR,Eastern Asia,Asia
442,120913,1117.2,Derived,108.2286072,14896,2013,,Hewlett-Packard,"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet",Software Company (M),United States,Industry,347,0,250253,48.32,0,Cluster,Xeon E5-2450 8C 2.100GHz,Intel SandyBridge,2100,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL360e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
443,110523,1021.2,Derived,108.2285546,13616,2013,,Hewlett-Packard,"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet",Software Company (M),United States,Industry,396,0,228749,48.32,0,Cluster,Xeon E5-2450 8C 2.100GHz,Intel SandyBridge,2100,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL360e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
444,149745,1383.6,Derived,108.2285343,18448,2013,,Hewlett-Packard,"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet",Software Company (M),United States,Industry,244,0,309926,48.32,0,Cluster,Xeon E5-2450 8C 2.100GHz,Intel SandyBridge,2100,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL360e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
445,153381,1417.2,Derived,108.2281964,18896,2013,,Hewlett-Packard,"Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet",Software Company (M),United States,Industry,237,0,317453,48.32,0,Cluster,Xeon E5-2450 8C 2.100GHz,Intel SandyBridge,2100,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL360e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
