"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt.g","how.g","year.g","name.g","totalcores.g","computer.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processorfamily.g","procfrequency.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t","rmax","mflopswatt"
"122",2015-06-01,73,-3.275,122,55,536663,246.56,2176.602044,"Submission",2012,"SAKURA",49152,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","High Energy Accelerator Research Organization /KEK","IBM","Japan","Research",0,629146,0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",92,39,36,"SAKURA","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","High Energy Accelerator Research Organization /KEK","IBM","Japan",2012,"Research",49152,0,536663,629146,0,0,247,2177,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",536663,2176.602044
"129",2015-06-01,74,-3.278,129,40,511236,226,2262.106195,"Top500",2014,"Falcon",16416,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","Idaho National Laboratory","SGI","United States","Research",0,656640,2098560,0,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"SUSE Linux Enterprise Server 11","Linux","None",12,"Intel Xeon E5 (Haswell)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",97,44,97,"Falcon","SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","Idaho National Laboratory","SGI","United States",2014,"Research",16416,0,511236,656640,2098560,0,226,2262,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"SUSE Linux Enterprise Server 11","Linux","None",12,"Intel Xeon E5 (Haswell)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",511236,2262.106195
"85",2015-06-01,75,-3.285,85,119,801400,568.5,1409.674582,"Top500",2014,"Aterui",25440,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ","National Astronomical Observatory of Japan","Cray Inc.","Japan","Academic",0,1058304,3742272,0,"Cluster","Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia","Asia",63,41,63,"Aterui","Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ","National Astronomical Observatory of Japan","Cray Inc.","Japan",2014,"Academic",25440,0,801400,1058304,3742272,0,569,1410,"Cluster","Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia","Asia",801400,1409.674582
"69",2015-06-01,76,-3.288,69,136,991525,877.5,1129.94302,"Derived",2014,"Konrad",44928,"Cray XC40, Intel Xeon E5-2695v2/E5-2680v3 12C 2.4/2.5GHz, Aries interconnect ","HLRN at ZIB/Konrad Zuse-Zentrum Berlin","Cray Inc.","Germany","Academic",0,1425715,3110399,0,"Cluster","Intel Xeon E5-2695v2 12C 2.4GHz","Intel IvyBridge",2400,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",51,42,121,"Konrad","Cray XC40, Intel Xeon E5-2695v2/E5-2680v3 12C 2.4/2.5GHz, Aries interconnect ","HLRN at ZIB/Konrad Zuse-Zentrum Berlin","Cray Inc.","Germany",2014,"Academic",44928,0,991525,1425715,3110399,0,NA,NA,"Cluster","Intel Xeon E5-2695v2 12C 2.4GHz","Intel IvyBridge",2400,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",991525,1129.94302
"143",2015-06-01,77,-3.291,143,29,463117,193.4,2394.607032,"Top500",2014,"Shadow",33600,"Cray CS300-LC, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 5110P","Mississippi State University","Cray Inc.","United States","Academic",28800,592742,1240000,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","Intel Xeon Phi 5110P",10,"Intel Xeon E5 (IvyBridge)","Cray CS300-LC","Cray CS300","Infiniband","Infiniband FDR","North America","Americas",222,43,185,"Shadow","Cray CS300-LC, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 5110P","Mississippi State University","Cray Inc.","United States",2014,"Academic",33600,28800,463117,592742,1240000,0,193,2395,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","Intel Xeon Phi 5110P",10,"Intel Xeon E5 (IvyBridge)","Cray CS300-LC","Cray CS300","Infiniband","Infiniband FDR","North America","Americas",463117,2394.607032
"50",2015-06-01,78,-3.293,50,180,1257615,1436.72,875.3375745,"Submission",2012,"Yellowstone",72288,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","NCAR (National Center for Atmospheric Research)","IBM","United States","Research",0,1503590,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",36,40,13,"Yellowstone","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","NCAR (National Center for Atmospheric Research)","IBM","United States",2012,"Research",72288,0,1257615,1503590,0,0,1437,875,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","North America","Americas",1257615,875.3375745
"74",2015-06-01,79,-3.3,74,138,958734,855.1,1121.195182,"Top500",2014,"Spruce A",44520,"SGI ICE X, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR","AWE","SGI","United Kingdom","Research",0,997248,3175200,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"SUSE Linux Enterprise Server 11","Linux","None",10,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Northern Europe","Europe",54,43,40,"Spruce A","SGI ICE X, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR","AWE","SGI","United Kingdom",2014,"Research",44520,0,958734,997248,3175200,0,855,1121,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"SUSE Linux Enterprise Server 11","Linux","None",10,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Northern Europe","Europe",958734,1121.195182
"38",2015-06-01,80,-3.312,38,238,1552000,2328.48,666.529238,"Derived",2014,"",83160,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ","ECMWF","Cray Inc.","United Kingdom","Research",0,1796256,4307352,0,"MPP","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Northern Europe","Europe",29,43,20,"","Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ","ECMWF","Cray Inc.","United Kingdom",2014,"Research",83160,0,1552000,1796256,4307352,0,NA,NA,"MPP","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Northern Europe","Europe",1552000,666.529238
"39",2015-06-01,81,-3.312,39,239,1552000,2328.48,666.529238,"Derived",2014,"",83160,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ","ECMWF","Cray Inc.","United Kingdom","Research",0,1796256,4307352,0,"MPP","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Northern Europe","Europe",28,43,19,"","Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ","ECMWF","Cray Inc.","United Kingdom",2014,"Research",83160,0,1552000,1796256,4307352,0,NA,NA,"MPP","Intel Xeon E5-2697v2 12C 2.7GHz","Intel IvyBridge",2700,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Northern Europe","Europe",1552000,666.529238
"198",2015-06-01,82,-3.319,198,16,260300,86.2,3019.721578,"Submission",2010,"CSIRO GPU Cluster",6875,"Nitro G16 3GPU, Xeon E5-2650 8C 2GHz, Infiniband FDR, Nvidia K20m","Commonwealth Scientific and Industrial Research Organisation (CSIRO)","Xenon Systems","Australia","Government",4875,472497.5,900000,0,"Cluster","Xeon E5-2650 8C 2GHz","Intel SandyBridge",2000,"Linux","Linux","Nvidia K20m",8,"Intel Xeon E5 (SandyBridge)","Nitro G16 3GPU","Xenon Cluster","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",154,36,146,"CSIRO GPU Cluster","Nitro G16 3GPU, Xeon E5-2650 8C 2GHz, Infiniband FDR, Nvidia K20m","Commonwealth Scientific and Industrial Research Organisation (CSIRO)","Xenon Systems","Australia",2010,"Government",6875,4875,335300,472498,900000,0,NA,NA,"Cluster","Xeon E5-2650 8C 2GHz","Intel SandyBridge",2000,"Linux","Linux","Nvidia K20m",8,"Intel Xeon E5 (SandyBridge)","Nitro G16 3GPU","Xenon Cluster","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania",335300,3019.721578
"33",2015-06-01,83,-3.32,33,254,1703280,2880,591.4166667,"Derived",2015,"SwiftLucy",57600,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","Government","Hewlett-Packard","United States","Government",0,2304000,3450432,0,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","Cluster Platform 3000 BL460c Gen9","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","North America","Americas",NA,45,33,"SwiftLucy","Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","Government","Hewlett-Packard","United States",2015,"Government",57600,0,1703280,2304000,3450432,0,NA,NA,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","Cluster Platform 3000 BL460c Gen9","HP Cluster Platform 3000BL","Infiniband","Infiniband FDR","North America","Americas",1703280,591.4166667
"95",2015-06-01,84,-3.32,95,122,738000,540,1366.666667,"Top500",2015,"Earth System Numerical Simulator",24912,"Sugon Cluster TC4600E-LP, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","LASG/Institute of Atmospheric Physics, CAS","Sugon","China","Academic",0,996480,4223000,0,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","Sugon Cluster TC4600E","Sugon Cluster","Infiniband","Infiniband EDR","Eastern Asia","Asia",NA,45,95,"Earth System Numerical Simulator","Sugon Cluster TC4600E-LP, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","LASG/Institute of Atmospheric Physics, CAS","Sugon","China",2015,"Academic",24912,0,738000,996480,4223000,0,540,1367,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","Sugon Cluster TC4600E","Sugon Cluster","Infiniband","Infiniband EDR","Eastern Asia","Asia",738000,1366.666667
"56",2015-06-01,85,-3.322,56,179,1139240,1296.666667,878.5912594,"Derived",2015,"Mistral",37344,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","DKRZ - Deutsches Klimarechenzentrum","Bull, Atos Group","Germany","Research",0,1493760,3234816,0,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Bullx Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","bullx DLC 720","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",NA,45,56,"Mistral","bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","DKRZ - Deutsches Klimarechenzentrum","Bull, Atos Group","Germany",2015,"Research",37344,0,1139240,1493760,3234816,0,NA,NA,"Cluster","Xeon E5-2680v3 12C 2.5GHz","Intel Haswell",2500,"Bullx Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","bullx DLC 720","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",1139240,878.5912594
"114",2015-06-01,86,-3.33,114,96,558800,319.872,1746.94878,"Derived",2015,"TIFR",11424,"Cray XC30, Intel Xeon E5-2680v2  10C 2.8GHz, Aries interconnect , NVIDIA K20x","Indian Lattice Gauge Theory Initiative (ILGTI), Tata Institute of Fundamental Research (TIFR)","Cray Inc.","India","Research",6664,730660,870912,0,"MPP","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Cray Linux Environment ","Linux","NVIDIA K20x",10,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","South-central Asia","Asia",NA,45,114,"TIFR","Cray XC30, Intel Xeon E5-2680v2  10C 2.8GHz, Aries interconnect , NVIDIA K20x","Indian Lattice Gauge Theory Initiative (ILGTI), Tata Institute of Fundamental Research (TIFR)","Cray Inc.","India",2015,"Research",11424,6664,558800,730660,870912,0,NA,NA,"MPP","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Cray Linux Environment ","Linux","NVIDIA K20x",10,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","South-central Asia","Asia",558800,1746.94878
"256",2015-06-01,87,-3.331,256,11,277100,78.77,3517.83674,"Submission",2013,"HA-PACS TCA",4864,"Cray CS300 Cluster, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband QDR, NVIDIA K20x","Center for Computational Sciences, University of Tsukuba","Cray Inc.","Japan","Academic",3584,364288,896960,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"CentOS","Linux","NVIDIA K20x",10,"Intel Xeon E5 (IvyBridge)","Cray CS300 Cluster","Cray CS300","Infiniband","Infiniband QDR","Eastern Asia","Asia",198,42,134,"HA-PACS TCA","Cray CS300 Cluster, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband QDR, NVIDIA K20x","Center for Computational Sciences, University of Tsukuba","Cray Inc.","Japan",2013,"Academic",4864,3584,277100,364288,896960,0,93,2980,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"CentOS","Linux","NVIDIA K20x",10,"Intel Xeon E5 (IvyBridge)","Cray CS300 Cluster","Cray CS300","Infiniband","Infiniband QDR","Eastern Asia","Asia",277100,3517.83674
"141",2015-06-01,88,-3.333,141,69,467072,225.5,2071.272727,"Top500",2015,"",13824,"SGI ICE XA, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR","SGI","SGI","United States","Vendor",0,575078,2359296,0,"Cluster","Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"SUSE Linux Enterprise Server 11","Linux","None",12,"Intel Xeon E5 (Haswell)","SGI ICE XA","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",NA,45,141,"","SGI ICE XA, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR","SGI","SGI","United States",2015,"Vendor",13824,0,467072,575078,2359296,0,226,2071,"Cluster","Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"SUSE Linux Enterprise Server 11","Linux","None",12,"Intel Xeon E5 (Haswell)","SGI ICE XA","SGI ICE","Infiniband","Infiniband FDR","North America","Americas",467072,2071.272727
"65",2015-06-01,89,-3.347,65,177,1043000,1176.8,886.3018355,"Top500",2012,"Oakleaf-FX",76800,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Information Technology Center, The University of Tokyo","Fujitsu","Japan","Academic",0,1135411,4058880,0,"Cluster","SPARC64 IXfx 16C 1.85GHz","Sparc",1848,"Linux","Linux","None",16,"SPARC64 IXfx","PRIMEHPC FX10","Fujitsu Cluster","Custom Interconnect","Tofu interconnect","Eastern Asia","Asia",48,39,18,"Oakleaf-FX","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Information Technology Center, The University of Tokyo","Fujitsu","Japan",2012,"Academic",76800,0,1043000,1135411,4058880,0,1177,886,"Cluster","SPARC64 IXfx 16C 1.85GHz","Sparc",1848,"Linux","Linux","None",16,"SPARC64 IXfx","PRIMEHPC FX10","Fujitsu Cluster","Custom Interconnect","Tofu interconnect","Eastern Asia","Asia",1043000,886.3018355
"153",2015-06-01,90,-3.354,153,67,430459,205,2099.8,"Top500",2011,"Manny",12960,"bullx DLC 720, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR","Bull","Bull, Atos Group","France","Vendor",0,539136,1969920,0,"Cluster","Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"Redhat Enterprise Linux 6.4","Linux","None",12,"Intel Xeon E5 (Haswell)","bullx DLC 720","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",115,38,27,"Manny","bullx DLC 720, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR","Bull","Bull, Atos Group","France",2011,"Vendor",12960,0,430459,539136,1969920,0,205,2100,"Cluster","Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"Redhat Enterprise Linux 6.4","Linux","None",12,"Intel Xeon E5 (Haswell)","bullx DLC 720","Bull Bullx","Infiniband","Infiniband FDR","Western Europe","Europe",430459,2099.8
"173",2015-06-01,91,-3.363,173,34,380504,165.3,2301.899577,"Top500",2014,"camellia",33600,"Cray XC30, Intel Xeon E5-2670v2  10C 2.500GHz, Aries interconnect , Intel Xeon Phi 5120D","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University","Cray Inc.","Japan","Academic",28800,581280,1242880,0,"MPP","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Cray Linux Environment ","Linux","Intel Xeon Phi 5120D",10,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia","Asia",132,43,101,"camellia","Cray XC30, Intel Xeon E5-2670v2  10C 2.500GHz, Aries interconnect , Intel Xeon Phi 5120D","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University","Cray Inc.","Japan",2014,"Academic",33600,28800,380504,581280,1242880,0,165,2302,"MPP","Intel Xeon E5-2670v2  10C 2.5GHz","Intel IvyBridge",2500,"Cray Linux Environment ","Linux","Intel Xeon Phi 5120D",10,"Intel Xeon E5 (IvyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Eastern Asia","Asia",380504,2301.899577
"83",2015-06-01,92,-3.364,83,141,829805,787.5,1053.720635,"Derived",2014,"Gottfried",40320,"Cray XC40, Intel Xeon E5-2695v2 12C 2.4GHz/E5-2680v3 12C 2.5GHz, Aries interconnect ","HLRN at Universitaet Hannover / RRZN","Cray Inc.","Germany","Academic",0,1241395,3001680,0,"Cluster","Intel Xeon E5-2695v2 12C 2.4GHz","Intel IvyBridge",2400,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",61,42,120,"Gottfried","Cray XC40, Intel Xeon E5-2695v2 12C 2.4GHz/E5-2680v3 12C 2.5GHz, Aries interconnect ","HLRN at Universitaet Hannover / RRZN","Cray Inc.","Germany",2014,"Academic",40320,0,829805,1241395,3001680,0,NA,NA,"Cluster","Intel Xeon E5-2695v2 12C 2.4GHz","Intel IvyBridge",2400,"Cray Linux Environment ","Linux","None",12,"Intel Xeon E5 (IvyBridge)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",829805,1053.720635
"301",2015-06-01,93,-3.365,301,8,191100,52.62,3631.698974,"Submission",2013,"Wilkes",4864,"Dell T620 Cluster, Intel Xeon E5-2630v2 6C 2.600GHz, Infiniband FDR, NVIDIA K20","Cambridge University","Dell","United Kingdom","Academic",3328,332662,845824,0,"Cluster","Intel Xeon E5-2630v2 6C 2.6GHz","Intel IvyBridge",2600,"Linux","Linux","NVIDIA K20",6,"Intel Xeon E5 (IvyBridge)","Dell T620 Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","Northern Europe","Europe",241,42,166,"Wilkes","Dell T620 Cluster, Intel Xeon E5-2630v2 6C 2.600GHz, Infiniband FDR, NVIDIA K20","Cambridge University","Dell","United Kingdom",2013,"Academic",4864,3328,239900,332662,845824,0,NA,NA,"Cluster","Intel Xeon E5-2630v2 6C 2.6GHz","Intel IvyBridge",2600,"Linux","Linux","NVIDIA K20",6,"Intel Xeon E5 (IvyBridge)","Dell T620 Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","Northern Europe","Europe",239900,3631.698974
"44",2015-06-01,94,-3.367,44,244,1359000,2132,637.4296435,"Submission",2012,"Curie thin nodes",77184,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","CEA/TGCC-GENCI","Bull, Atos Group","France","Research",0,1667174,5757528,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe",33,39,9,"Curie thin nodes","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","CEA/TGCC-GENCI","Bull, Atos Group","France",2012,"Research",77184,0,1359000,1667174,5757528,0,2251,604,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"bullx SUperCOmputer Suite A.E.2.1","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Western Europe","Europe",1359000,637.4296435
"91",2015-06-01,95,-3.369,91,137,767504,684.5,1121.262235,"Top500",2014,"Spruce B",35640,"SGI ICE X, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR","AWE","SGI","United Kingdom","Research",0,798336,0,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"SUSE Linux Enterprise Server 11","Linux","None",10,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Northern Europe","Europe",68,43,49,"Spruce B","SGI ICE X, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR","AWE","SGI","United Kingdom",2014,"Research",35640,0,767504,798336,0,0,685,1121,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"SUSE Linux Enterprise Server 11","Linux","None",10,"Intel Xeon E5 (IvyBridge)","SGI ICE X","SGI ICE","Infiniband","Infiniband FDR","Northern Europe","Europe",767504,1121.262235
"77",2015-06-01,96,-3.375,77,166,925058,1015.6,910.8487594,"Submission",2012,"MareNostrum",48896,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Barcelona Supercomputing Center","IBM","Spain","Academic",0,1017036.8,0,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe",57,40,36,"MareNostrum","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Barcelona Supercomputing Center","IBM","Spain",2012,"Academic",48896,0,925058,1017037,0,0,1016,911,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe",925058,910.8487594
"116",2015-06-01,97,-3.377,116,113,557033,370,1505.494595,"Top500",2014,"SuperMIC",45866,"Dell C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 7120P","Louisiana State University","Dell","United States","Academic",39406,925072,1343824,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Redhat Enterprise Linux 6.4","Linux","Intel Xeon Phi 7120P",10,"Intel Xeon E5 (IvyBridge)","Dell C8220X Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",88,43,65,"SuperMIC","Dell C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 7120P","Louisiana State University","Dell","United States",2014,"Academic",45866,39406,557033,925072,1343824,0,370,1505,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Redhat Enterprise Linux 6.4","Linux","Intel Xeon Phi 7120P",10,"Intel Xeon E5 (IvyBridge)","Dell C8220X Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",557033,1505.494595
"135",2015-06-01,98,-3.381,135,99,480108,279,1720.817204,"Top500",2015,"BEM",17280,"Actina Solar 820 S6, Xeon E5-2670v3 12C 2.3GHz, Infiniband FDR","Wroclaw Centre for Networking and Supercomputing","ACTION","Poland","Academic",0,635904,2360000,0,"Cluster","Xeon E5-2670v3 12C 2.3GHz","Intel Haswell",2300,"Scientific Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","Actina Solar 820 S6","ACTION Cluster","Infiniband","Infiniband FDR","Eastern Europe","Europe",NA,45,135,"BEM","Actina Solar 820 S6, Xeon E5-2670v3 12C 2.3GHz, Infiniband FDR","Wroclaw Centre for Networking and Supercomputing","ACTION","Poland",2015,"Academic",17280,0,480108,635904,2360000,0,279,1721,"Cluster","Xeon E5-2670v3 12C 2.3GHz","Intel Haswell",2300,"Scientific Linux","Linux","None",12,"Intel Xeon E5 (Haswell)","Actina Solar 820 S6","ACTION Cluster","Infiniband","Infiniband FDR","Eastern Europe","Europe",480108,1720.817204
