"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","how.g","mflopswatt","totalcores.g","year.g","name.g","manufacturer.g","computer.g","site.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","efficiency.g","nmax.g","architecture.g","processor.g","processortechnology.g","processorspeedmhz.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"458",2013-06-01,445,-4.646,458,418,102200,776.42,"Derived",131.629788,13552,2009,"Hera","Cray Inc.","Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","Lawrence Livermore National Laboratory","United States","Research",0,127200,80.35,1651780,"Cluster","Opteron Quad Core 4C 2.300GHz","AMD x86_64",2300,"Redhat Linux","Linux","None",4,"Opteron Quad Core","Appro XtremeServers","Appro XtremeServer","Infiniband","Infinband DDR 4x","North America","Americas",296,33,32,"Hera","Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","Lawrence Livermore National Laboratory","Cray Inc.","United States",2009,"Research",13552,0,102200,127200,80,1651780,0,NA,NA,"Cluster","Opteron Quad Core 4C 2.300GHz","AMD x86_64",2300,"Redhat Linux","Linux","None",4,"Opteron Quad Core","Appro XtremeServers","Appro XtremeServer","Infiniband","Infinband DDR 4x","North America","Americas"
"354",2013-06-01,446,-4.653,354,438,119962,1094.4,"Derived",109.6144006,14592,2013,"","Hewlett-Packard","Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet","Computacenter (UK) LTD","United Kingdom","Industry",0,233472,51.38,0,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL380p Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","Northern Europe","Europe",NA,41,354,"","Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet","Computacenter (UK) LTD","Hewlett-Packard","United Kingdom",2013,"Industry",14592,0,119962,233472,51,0,0,NA,NA,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL380p Gen8 ","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","Northern Europe","Europe"
"347",2013-06-01,447,-4.654,347,442,120913,1117.2,"Derived",108.2286072,14896,2013,"","Hewlett-Packard","Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","Software Company (M)","United States","Industry",0,250253,48.32,0,"Cluster","Xeon E5-2450 8C 2.100GHz","Intel SandyBridge",2100,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",NA,41,347,"","Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","Software Company (M)","Hewlett-Packard","United States",2013,"Industry",14896,0,120913,250253,48,0,0,NA,NA,"Cluster","Xeon E5-2450 8C 2.100GHz","Intel SandyBridge",2100,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"420",2013-06-01,448,-4.666,420,430,107100,911.36,"Derived",117.5166784,10240,2009,"","SGI","SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz","HLRN at Universitaet Hannover / RRZN","Germany","Academic",0,120729.6,88.71,1535480,"MPP","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"SLES10 + SGI ProPack 5","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","SGI ICE 8200EX","SGI Altix","Infiniband","Infiniband","Western Europe","Europe",274,34,39,"","SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz","HLRN at Universitaet Hannover / RRZN","SGI","Germany",2009,"Academic",10240,0,107100,120730,89,1535480,0,NA,NA,"MPP","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"SLES10 + SGI ProPack 5","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","SGI ICE 8200EX","SGI Altix","Infiniband","Infiniband","Western Europe","Europe"
"421",2013-06-01,449,-4.666,421,431,107100,911.36,"Derived",117.5166784,10240,2009,"","SGI","SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz","HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik","Germany","Academic",0,120729.6,88.71,1535480,"MPP","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"SLES10 + SGI ProPack 5","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","SGI ICE 8200EX","SGI Altix","Infiniband","Infiniband","Western Europe","Europe",275,34,40,"","SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz","HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik","SGI","Germany",2009,"Academic",10240,0,107100,120730,89,1535480,0,NA,NA,"MPP","Xeon X5570 4C 2.930GHz","Intel Nehalem",2930,"SLES10 + SGI ProPack 5","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","SGI ICE 8200EX","SGI Altix","Infiniband","Infiniband","Western Europe","Europe"
"462",2013-06-01,450,-4.669,462,427,101741,831,"Top500",122.4320096,15104,2009,"T2K Open Supercomputer (Todai Combined Cluster)","Hitachi","Hitachi opteron QC 2.3 GHz Myrinet 10G","Information Technology Center, The University of Tokyo","Japan","Academic",0,138956,73.22,1740800,"Cluster","Opteron Quad Core 4C 2.300GHz","AMD x86_64",2300,"Linux","Linux","None",4,"Opteron Quad Core","Hitachi Cluster","Hitachi Cluster","Myrinet","Myrinet 10G","Eastern Asia","Asia",299,34,45,"T2K Open Supercomputer (Todai Combined Cluster)","Hitachi opteron QC 2.3 GHz Myrinet 10G","Information Technology Center, The University of Tokyo","Hitachi","Japan",2009,"Academic",15104,0,101741,138956,73,1740800,0,831,122,"Cluster","Opteron Quad Core 4C 2.300GHz","AMD x86_64",2300,"Linux","Linux","None",4,"Opteron Quad Core","Hitachi Cluster","Hitachi Cluster","Myrinet","Myrinet 10G","Eastern Asia","Asia"
"394",2013-06-01,451,-4.681,394,441,110600,1020,"Top500",108.4313725,12032,2009,"","Fujitsu","Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR","JAXA","Japan","Research",0,121282,91.19,3308800,"Cluster","SPARC64 VII 4C 2.500GHz","Sparc",2500,"Open Solaris","Unix","None",4,"SPARC64 VII","Fujitsu FX1","Fujitsu Cluster","Infiniband","Infiniband DDR","Eastern Asia","Asia",251,33,28,"","Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR","JAXA","Fujitsu","Japan",2009,"Research",12032,0,110600,121282,91,3308800,0,1020,108,"Cluster","SPARC64 VII 4C 2.500GHz","Sparc",2500,"Open Solaris","Unix","None",4,"SPARC64 VII","Fujitsu FX1","Fujitsu Cluster","Infiniband","Infiniband DDR","Eastern Asia","Asia"
"396",2013-06-01,452,-4.682,396,443,110523,1021.2,"Derived",108.2285546,13616,2013,"","Hewlett-Packard","Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","Software Company (M)","United States","Industry",0,228749,48.32,0,"Cluster","Xeon E5-2450 8C 2.100GHz","Intel SandyBridge",2100,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",NA,41,396,"","Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","Software Company (M)","Hewlett-Packard","United States",2013,"Industry",13616,0,110523,228749,48,0,0,NA,NA,"Cluster","Xeon E5-2450 8C 2.100GHz","Intel SandyBridge",2100,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"360",2013-06-01,453,-4.689,360,457,119278,1216.8,"Derived",98.02596976,16224,2012,"","Hewlett-Packard","Cluster Platform SL230s Gen8, Xeon E5-2650 8C 2.000GHz, 10G Ethernet","IT Services Provider","United States","Industry",0,259584,45.95,0,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas",226,40,226,"","Cluster Platform SL230s Gen8, Xeon E5-2650 8C 2.000GHz, 10G Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",16224,0,119278,259584,46,0,0,NA,NA,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform SL230s Gen8","HP Cluster Platform 3000SL","10G","10G Ethernet","North America","Americas"
"464",2013-06-01,454,-4.701,464,435,101213.2,910.18,"Derived",111.2013008,10304,2010,"","Hewlett-Packard","Cluster Platform 3000 BL 2x220, Xeon E5450 4C 3.000GHz, Infiniband QDR","Kurchatov Institute Moscow","Russia","Research",0,123648,81.86,0,"Cluster","Xeon E5450 4C 3.000GHz","Intel Core",3000,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","Cluster Platform 3000 BL 2x220","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Eastern Europe","Europe",300,35,54,"","Cluster Platform 3000 BL 2x220, Xeon E5450 4C 3.000GHz, Infiniband QDR","Kurchatov Institute Moscow","Hewlett-Packard","Russia",2010,"Research",10304,0,101213,123648,82,0,0,NA,NA,"Cluster","Xeon E5450 4C 3.000GHz","Intel Core",3000,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","Cluster Platform 3000 BL 2x220","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","Eastern Europe","Europe"
"438",2013-06-01,455,-4.706,438,449,104401.4,986.5125,"Derived",105.8287655,17538,2012,"","Hewlett-Packard","Cluster Platform 3000 BL490c G7, Xeon X5670 6C 2.930GHz, Gigabit Ethernet","Logistic Services (C)","Germany","Industry",0,205545,50.79,0,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL490c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","Western Europe","Europe",287,40,287,"","Cluster Platform 3000 BL490c G7, Xeon X5670 6C 2.930GHz, Gigabit Ethernet","Logistic Services (C)","Hewlett-Packard","Germany",2012,"Industry",17538,0,104401,205545,51,0,0,NA,NA,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL490c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","Western Europe","Europe"
"473",2013-06-01,456,-4.706,473,436,99779,900,"Derived",110.8655556,12000,2013,"","Hewlett-Packard","Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","Web Content Provider","United States","Industry",0,201600,49.49,0,"Cluster","Xeon E5-2450 8C 2.100GHz","Intel SandyBridge",2100,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",NA,41,473,"","Cluster Platform DL360e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet","Web Content Provider","Hewlett-Packard","United States",2013,"Industry",12000,0,99779,201600,49,0,0,NA,NA,"Cluster","Xeon E5-2450 8C 2.100GHz","Intel SandyBridge",2100,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL360e Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"470",2013-06-01,457,-4.707,470,439,100494,916.8,"Derived",109.6138743,12224,2013,"","Hewlett-Packard","Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet","IT Services Provider (B)","China","Industry",0,195584,51.38,0,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL380p Gen8","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",NA,41,470,"","Cluster Platform DL380p Gen8 , Xeon E5-2650 8C 2.000GHz, Gigabit Ethernet","IT Services Provider (B)","Hewlett-Packard","China",2013,"Industry",12224,0,100494,195584,51,0,0,NA,NA,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","Cluster Platform DL380p Gen8 ","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"355",2013-06-01,458,-4.712,355,460,119930,1324.8,"Derived",90.52687198,13004,2009,"MVS-100K","Hewlett-Packard","Cluster Platform 3000 BL460c/BL 2x220/SL390, Xeon E5450/5365/X5675 4C 3.000GHz, Infiniband DDR, NVIDIA 2090","Joint Supercomputer Center","Russia","Academic",2432,227944,52.61,0,"Cluster","Xeon X5450 4C 3.000GHz","Intel Core",3000,"Linux","Linux","NVIDIA 2090",4,"Xeon 5400-series ""Harpertown""","Cluster Platform 3000 BL460c/BL 2x220","HP Cluster Platform 3000BL","Infiniband","Infiniband DDR","Eastern Europe","Europe",222,34,38,"MVS-100K","Cluster Platform 3000 BL460c/BL 2x220/SL390, Xeon E5450/5365/X5675 4C 3.000GHz, Infiniband DDR, NVIDIA 2090","Joint Supercomputer Center","Hewlett-Packard","Russia",2009,"Academic",13004,2432,119930,227944,53,0,0,NA,NA,"Cluster","Xeon X5450 4C 3.000GHz","Intel Core",3000,"Linux","Linux","NVIDIA 2090",4,"Xeon 5400-series ""Harpertown""","Cluster Platform 3000 BL460c/BL 2x220","HP Cluster Platform 3000BL","Infiniband","Infiniband DDR","Eastern Europe","Europe"
"144",2013-06-01,459,-4.724,144,495,215665.1,4458,"Derived",48.37709735,44580,2012,"","Hewlett-Packard","HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet","Web Content Provider","United States","Industry",0,427968,50.39,0,"Cluster","Xeon E5645 6C 2.400GHz","Intel Nehalem",2400,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","HP DL160 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",115,40,115,"","HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet","Web Content Provider","Hewlett-Packard","United States",2012,"Industry",44580,0,215665,427968,50,0,0,NA,NA,"Cluster","Xeon E5645 6C 2.400GHz","Intel Nehalem",2400,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","HP DL160 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"368",2013-06-01,460,-4.724,368,461,115900,1288,"Submission",89.98447205,8064,2008,"","IBM","Power 575, p6 4.7 GHz, Infiniband","DKRZ - Deutsches Klimarechenzentrum","Germany","Research",0,151603.2,76.45,1128959,"MPP","POWER6 2C 4.700GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","Western Europe","Europe",232,33,25,"","Power 575, p6 4.7 GHz, Infiniband","DKRZ - Deutsches Klimarechenzentrum","IBM","Germany",2008,"Research",8064,0,115900,151603,76,1128959,0,1288,90,"MPP","POWER6 2C 4.700GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","Western Europe","Europe"
"369",2013-06-01,461,-4.734,369,464,115900,1329,"Submission",87.20842739,8320,2008,"","IBM","Power 575, p6 4.7 GHz, Infiniband","ECMWF","United Kingdom","Research",0,156416,74.1,0,"MPP","POWER6 2C 4.700GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","Northern Europe","Europe",234,33,27,"","Power 575, p6 4.7 GHz, Infiniband","ECMWF","IBM","United Kingdom",2009,"Research",8320,0,115900,156416,74,0,0,1329,87,"MPP","POWER6 2C 4.700GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","Northern Europe","Europe"
"370",2013-06-01,462,-4.734,370,465,115900,1329,"Submission",87.20842739,8320,2009,"","IBM","Power 575, p6 4.7 GHz, Infiniband","ECMWF","United Kingdom","Research",0,156416,74.1,0,"MPP","POWER6 2C 4.700GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","Northern Europe","Europe",233,31,19,"","Power 575, p6 4.7 GHz, Infiniband","ECMWF","IBM","United Kingdom",2008,"Research",8320,0,115900,156416,74,0,0,1329,87,"MPP","POWER6 2C 4.700GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","Northern Europe","Europe"
"270",2013-06-01,463,-4.735,270,475,140779.3,1969.2,"Derived",71.49060532,26256,2012,"","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","Banking (M)","United States","Industry",0,279364,50.39,0,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",175,40,175,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","Banking (M)","Hewlett-Packard","United States",2012,"Industry",26256,0,140779,279364,50,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"424",2013-06-01,464,-4.741,424,458,106316.4,1144.8,"Derived",92.86897275,20352,2012,"","Hewlett-Packard","Cluster Platform 4000 BL685c, Opteron 6140 8C 2.600GHz, Gigabit Ethernet","Electrionic Industry","United States","Industry",0,211661,50.23,0,"Cluster","Opteron 6140 8C 2.600GHz","AMD x86_64",2600,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours""","Cluster Platform 4000 BL685c","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",278,40,278,"","Cluster Platform 4000 BL685c, Opteron 6140 8C 2.600GHz, Gigabit Ethernet","Electrionic Industry","Hewlett-Packard","United States",2012,"Industry",20352,0,106316,211661,50,0,0,NA,NA,"Cluster","Opteron 6140 8C 2.600GHz","AMD x86_64",2600,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL685c","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"361",2013-06-01,465,-4.745,361,467,118091.7,1432.8,"Derived",82.42022613,25472,2012,"","Hewlett-Packard","Cluster Platform 4000 BL465c, Opteron 6134 8C 2.30GHz, Gigabit Ethernet","Government","Canada","Government",0,234342,50.39,0,"Cluster","Opteron 6134 8C 2.300GHz","AMD x86_64",2300,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours""","Cluster Platform 4000 BL465c","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",227,39,286,"","Cluster Platform 4000 BL465c, Opteron 6134 8C 2.30GHz, Gigabit Ethernet","Government","Hewlett-Packard","Canada",2012,"Government",25472,0,118092,234342,50,0,0,NA,NA,"Cluster","Opteron 6134 8C 2.300GHz","AMD x86_64",2300,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL465c","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"288",2013-06-01,466,-4.749,288,476,134280.8,1878.3,"Derived",71.49060321,25044,2012,"","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","Logistic Services (E)","United States","Industry",0,266468,50.39,0,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",182,40,182,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","Logistic Services (E)","Hewlett-Packard","United States",2012,"Industry",25044,0,134281,266468,50,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"417",2013-06-01,467,-4.749,417,463,108306,1221.6,"Derived",88.65913556,16288,2013,"","Hewlett-Packard","Cluster Platform 4000 BL465c, Opteron 6278 16C 2.400GHz, 10G Ethernet","IT Service Provider","United Kingdom","Industry",0,156365,69.26,0,"Cluster","Opteron 6278 16C 2.400GHz","AMD x86_64",2400,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cluster Platform 4000 BL465c","HP Cluster Platform 4000BL","10G","10G Ethernet","Northern Europe","Europe",NA,41,417,"","Cluster Platform 4000 BL465c, Opteron 6278 16C 2.400GHz, 10G Ethernet","IT Service Provider","Hewlett-Packard","United Kingdom",2013,"Industry",16288,0,108306,156365,69,0,0,NA,NA,"Cluster","Opteron 6278 16C 2.400GHz","AMD x86_64",2400,"Linux","Linux","None",16,"Opteron 6200 Series ""Interlagos""","Cluster Platform 4000 BL465c","HP Cluster Platform 4000BL","10G","10G Ethernet","Northern Europe","Europe"
"290",2013-06-01,468,-4.751,290,474,133637.4,1869.3,"Derived",71.49061146,24924,2012,"","Hewlett-Packard","Cluster Platform BL460c/280c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Service Provider","United States","Industry",0,265191,50.39,0,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c/280c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",184,40,184,"","Cluster Platform BL460c/280c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Service Provider","Hewlett-Packard","United States",2012,"Industry",24924,0,133637,265191,50,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c/280c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"312",2013-06-01,469,-4.763,312,477,128683,1800,"Derived",71.49055556,24000,2012,"","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","IT Services Provider","United States","Industry",0,255360,50.39,0,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",201,40,201,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",24000,0,128683,255360,50,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"313",2013-06-01,470,-4.763,313,478,128683,1800,"Derived",71.49055556,24000,2012,"","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","IT Services Provider","United States","Industry",0,255360,50.39,0,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas",202,40,202,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",24000,0,128683,255360,50,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"441",2013-06-01,471,-4.772,441,466,103720.5,1206,"Derived",86.00373134,21440,2012,"","Hewlett-Packard","Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.400GHz, Gigabit Ethernet","Web Company (C)","China","Industry",0,205824,50.39,0,"Cluster","Opteron 6136 8C 2.400GHz","AMD x86_64",2400,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours""","Cluster Platform 4000 BL685c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia",289,40,289,"","Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.400GHz, Gigabit Ethernet","Web Company (C)","Hewlett-Packard","China",2012,"Industry",21440,0,103721,205824,50,0,0,NA,NA,"Cluster","Opteron 6136 8C 2.400GHz","AMD x86_64",2400,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL685c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"478",2013-06-01,472,-4.775,478,462,98423,1095,"Submission",89.88401826,6848,2009,"VIP","IBM","Power 575, p6 4.7 GHz, Infiniband","Max-Planck-Gesellschaft MPI/IPP","Germany","Research",0,128742.4,76.45,0,"MPP","POWER6 2C 4.700GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","Western Europe","Europe",307,34,46,"VIP","Power 575, p6 4.7 GHz, Infiniband","Max-Planck-Gesellschaft MPI/IPP","IBM","Germany",2009,"Research",6848,0,98423,128742,76,0,0,1095,90,"MPP","POWER6 2C 4.700GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","Western Europe","Europe"
