"","date","ExaRank","exascalar","top500rank","green500rank.g","site.g","manufacturer.g","name.g","computer.g","country.g","mflopswatt","power.g","cores.g","rmax.g","rpeak.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"233",2012-11-01,413,-4.734,233,426,"ECMWF","IBM","","Power 575, p6 4.7 GHz, Infiniband","United Kingdom",87.20842739,1329,8320,115900,156416,153,33,27,"","Power 575, p6 4.7 GHz, Infiniband","ECMWF","IBM","United Kingdom",2009,"Research",8320,0,115900,156416,74,0,0,1329,87,"MPP","POWER6 2C 4.700GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","Northern Europe","Europe"
"340",2012-11-01,414,-4.735,340,409,"Columbia University","Hewlett-Packard","","Cluster Platform SL230s/SL250s, Xeon E5-2630 6C 2.300GHz, 10G Ethernet, NVIDIA 2090","United States",108.1373843,864,8640,93430.7,212342.4,NA,40,340,"","SGI Altix X, Xeon E5-2690 8C 2.900GHz, Infiniband FDR","SGI","SGI","United States",2012,"Vendor",4608,0,93170,106906,87,0,0,129,722,"Cluster","Xeon E5-2690 8C 2.900GHz","Intel SandyBridge",2900,"SUSE Linux Enterprise Server 11","Linux","None",8,"Intel Xeon E5","SGI Altix X","SGI Altix","Infiniband","Infiniband FDR","North America","Americas"
"331",2012-11-01,415,-4.739,331,412,"IT Service Provider","Hewlett-Packard","","Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband","Germany",104.7362719,904.53,10240,94737.1,122880,203,34,74,"","xSeries iDataPlex, Xeon E5645 6C 2.400GHz, Infiniband","University of Southampton","IBM","United Kingdom",2009,"Academic",11088,0,94693,106445,89,0,0,228,415,"Cluster","Xeon E5645 6C 2.400GHz","Intel Nehalem",2400,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries iDataPlex","IBM iDataPlex","Infiniband","Infiniband","Northern Europe","Europe"
"176",2012-11-01,416,-4.74,176,458,"Banking (M)","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","United States",71.49060532,1969.2,26256,140779.3,279364,NA,40,176,"","Cluster Platform 4000 BL465c, Opteron 6174 12C 2.200GHz, Gigabit Ethernet","Manufacturing Company","Hewlett-Packard","United States",2012,"Industry",31200,0,138359,274560,50,0,0,NA,NA,"Cluster","Opteron 6174 12C 2.200GHz","AMD x86_64",2200,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL465c","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"459",2012-11-01,417,-4.74,459,390,"IT Service Provider (D)","Hewlett-Packard","","Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.30 GHz, Gigabit Ethernet","United States",124.9024237,635.4,16944,79363,155885,299,37,114,"CASE Cluster","Oracle Blade Server X6275,  X5670 2.93 GHz, Infiniband QDR","DLR - CASE","Oracle","Germany",2011,"Research",7680,0,79340,91130,87,0,0,NA,NA,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Oracle Blade x6275","Sun Blade System","Infiniband","Infiniband QDR","Western Europe","Europe"
"278",2012-11-01,418,-4.741,278,418,"Electrionic Industry","Hewlett-Packard","","Cluster Platform 4000 BL685c, Opteron 6140 8C 2.600GHz, Gigabit Ethernet","United States",92.86897275,1144.8,20352,106316.4,211661,NA,40,278,"","Cluster Platform 4000 BL685c, Opteron 6140 8C 2.600GHz, Gigabit Ethernet","Electrionic Industry","Hewlett-Packard","United States",2012,"Industry",20352,0,106316,211661,50,0,0,NA,NA,"Cluster","Opteron 6140 8C 2.600GHz","AMD x86_64",2600,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL685c","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"431",2012-11-01,419,-4.741,431,396,"Lawrence Livermore National Laboratory","Appro International","Graph","Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR","United States",118.6857143,700,13440,83080,107500,279,37,111,"Typhoon","Appro Xtreme Opteron 2 GHz, Infiniband QDR","Los Alamos National Laboratory","Appro International","United States",2011,"Research",13312,0,83050,106500,78,873600,436800,NA,NA,"Cluster","Opteron 6128 8C 2.000GHz","AMD x86_64",2000,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours"" ","Appro XtremeServers","Appro XtremeServer","Infiniband","Infiniband QDR","North America","Americas"
"227",2012-11-01,420,-4.745,227,438,"Government","Hewlett-Packard","","Cluster Platform 4000 BL465c, Opteron 6134 8C 2.30GHz, Gigabit Ethernet","Canada",82.42022613,1432.8,25472,118091.7,234342,286,39,286,"","Cluster Platform 4000 BL465c, Opteron 6134 8C 2.30GHz, Gigabit Ethernet","Government","Hewlett-Packard","Canada",2012,"Government",25472,0,118092,234342,50,0,0,NA,NA,"Cluster","Opteron 6134 8C 2.300GHz","AMD x86_64",2300,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL465c","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"183",2012-11-01,421,-4.751,183,459,"Logistic Services (E)","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","United States",71.49060321,1878.3,25044,134280.8,266468,156,36,146,"CSIRO GPU Cluster","Nitro G16 3GPU, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, NVIDIA 2050","CSIRO","Xenon Systems","Australia",2010,"Government",7308,5292,133700,226926,59,925285,0,NA,NA,"Cluster","Xeon E5-2650 8C 2.000GHz","Intel SandyBridge",2000,"Windows HPC 2008","Windows","NVIDIA 2050",8,"Intel Xeon E5","Nitro G16 3GPU","Xenon Cluster","Infiniband","Infiniband FDR","Australia and New Zealand","Oceania"
"185",2012-11-01,422,-4.752,185,457,"Service Provider","Hewlett-Packard","","Cluster Platform BL460c/280c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","United States",71.49061146,1869.3,24924,133637.4,265191,128,31,8,"Encanto","SGI Altix ICE 8200, Xeon quad core 3.0 GHz","New Mexico Computing Applications Center (NMCAC)","SGI","United States",2007,"Research",14336,0,133200,172032,77,1800100,0,861,155,"MPP","Xeon X5365 4C 3.000GHz","Intel Core",3000,"SLES10 + SGI ProPack 5","Linux","None",4,"Xeon 5300-series ""Clovertown""","SGI ICE 8200","SGI Altix","Infiniband","Infiniband","North America","Americas"
"449",2012-11-01,423,-4.752,449,397,"Maui High-Performance Computing Center (MHPCC)","Dell","Mana","Dell PowerEdge M610 Cluster, Nehalem-EP 2.8Ghz, Infiniband","United States",118.6325894,679.24,9210,80580,103219,296,39,296,"","xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet","Service Provider","IBM","Japan",2012,"Industry",14256,0,80333,144271,56,0,0,432,186,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"386",2012-11-01,424,-4.758,386,411,"Manufacturing Company","Hewlett-Packard","","Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband","France",105.3602237,840.45,8576,88550,100510.7,NA,40,386,"","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet","IT Services Provider (B)","Hewlett-Packard","India",2012,"Industry",8080,0,88543,168064,53,0,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform 3000 BL460c Gen8","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","South-central Asia","Asia"
"202",2012-11-01,425,-4.763,202,461,"IT Services Provider","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","United States",71.49055556,1800,24000,128683,255360,NA,40,202,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",24000,0,128683,255360,50,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"203",2012-11-01,426,-4.764,203,460,"IT Services Provider","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","United States",71.49055556,1800,24000,128683,255360,136,39,136,"","Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.30GHz, Gigabit Ethernet","IT Service Provider (D)","Hewlett-Packard","United States",2012,"Industry",28620,0,127903,263304,49,0,0,NA,NA,"Cluster","Opteron 6176 12C 2.300GHz","AMD x86_64",2300,"Linux","Linux","None",12,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL465c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"432",2012-11-01,427,-4.768,432,406,"Los Alamos National Laboratory","Appro International","Typhoon","Appro Xtreme Opteron 2 GHz, Infiniband QDR","United States",108.8908993,762.69,13312,83050,106500,280,39,280,"","Cluster Platform SL230s/SL250s, Xeon E5-2670 8C 2.60GHz, Infiniband QDR","National Institute of Genetics","Hewlett-Packard","Japan",2012,"Research",5616,0,82900,116813,71,1503761,0,NA,NA,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Cluster Platform SL230s/SL250s","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"476",2012-11-01,428,-4.773,476,401,"Center for Computational Sciences, University of Tsukuba","Appro International","T2K Open Supercomputer","Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","Japan",115.171386,671,10368,77280,95385,313,37,457,"","BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband","Lockheed Martin","IBM","United States",2011,"Industry",9712,0,77267,103569,75,0,0,906,85,"Cluster","Xeon E5430 4C 2.666GHz","Intel Core",2666,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","BladeCenter HS21 Cluster","IBM BladeCenter","Infiniband","Infiniband","North America","Americas"
"290",2012-11-01,429,-4.774,290,428,"Web Company (C)","Hewlett-Packard","","Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.400GHz, Gigabit Ethernet","China",86.00373134,1206,21440,103720.5,205824,177,38,114,"","Bullx B505, Xeon E5649 6C 2.53GHz, Infiniband QDR, NVIDIA 2090","Barcelona Supercomputing Center","Bull SA","Spain",2011,"Academic",5544,4032,103200,182881,56,437760,0,82,1266,"Cluster","Xeon E5649 6C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","NVIDIA 2090",6,"Xeon 5600-series (Westmere-EP)","Bullx B505","Bull Bullx","Infiniband","Infiniband QDR","Southern Europe","Europe"
"308",2012-11-01,430,-4.776,308,425,"Max-Planck-Gesellschaft MPI/IPP","IBM","VIP","Power 575, p6 4.7 GHz, Infiniband","Germany",89.88401826,1095,6848,98423,128742.4,189,37,321,"","xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","Internet Service","IBM","China",2011,"Industry",17344,0,97959,175521,56,0,0,526,186,"Cluster","Xeon E5540 4C 2.530GHz","Intel Nehalem",2530,"Linux","Linux","None",4,"Xeon 5500-series (Nehalem-EP)","xSeries x3650M2 Cluster Xeon QC","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"471",2012-11-01,431,-4.786,471,405,"Web Company (C)","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Infiniband QDR","China",109.7097161,709.65,9462,77855.5,100676,308,37,117,"","Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE","IT Service Provider (D)","Hewlett-Packard","United States",2011,"Industry",12822,0,77745,150274,52,0,0,NA,NA,"Cluster","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G6","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"228",2012-11-01,432,-4.793,228,465,"Banking (M)","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","United States",70.73131641,1665.9,22212,117831.3,236336,151,39,151,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","Banking (M)","Hewlett-Packard","United States",2012,"Industry",22212,0,117831,236336,50,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"230",2012-11-01,433,-4.794,230,463,"IT Services Provider","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","United States",71.49051491,1623.6,21648,116072,230335,NA,40,230,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",21648,0,116072,230335,50,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"231",2012-11-01,434,-4.794,231,462,"IT Services Provider","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","United States",71.49051491,1623.6,21648,116072,230335,NA,40,231,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",21648,0,116072,230335,50,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"325",2012-11-01,435,-4.797,325,429,"Web Company (C)","Hewlett-Packard","","Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.40 GHz, Gigabit Ethernet","China",85.88906781,1117.8,19872,96006.8,190771,200,39,200,"","Cluster Platform SL160z, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","Web Company (F)","Hewlett-Packard","United States",2012,"Industry",17700,0,95595,188328,51,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL160z","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"399",2012-11-01,436,-4.8,399,417,"Logistic Services","Hewlett-Packard","","Cluster Platform 4000 BL685c G7, Opteron 6140 8C 2.60GHz, Gigabit Ethernet","China",94.37175289,916.2,16288,86463.4,169395,252,39,252,"rzuseq","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/NNSA/LLNL","IBM","United States",2012,"Research",8192,0,86346,104858,82,434175,0,41,2101,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"177",2012-11-01,437,-4.802,177,474,"Manufacturing Company","Hewlett-Packard","","Cluster Platform 4000 BL465c, Opteron 6174 12C 2.200GHz, Gigabit Ethernet","United States",59.1275641,2340,31200,138358.5,274560,NA,35,322,"WillowA","Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","Atomic Weapons Establishment","Bull SA","United Kingdom",2010,"Classified",7488,0,136700,161740,85,1786550,0,182,751,"Cluster","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Linux","Linux","None",8,"Intel Xeon E5","Bullx B510","Bull Bullx","Infiniband","Infiniband QDR","Northern Europe","Europe"
"294",2012-11-01,438,-4.802,294,442,"Computer Network Information Center, Chinese Academy of Science","Lenovo","","DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband","China",78.75946186,1305.24,12216,102800,145965,NA,40,294,"","HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet","Web Content Provider","Hewlett-Packard","United States",2012,"Industry",21216,0,102637,203674,50,0,0,NA,NA,"Cluster","Xeon E5645 6C 2.400GHz","Intel Nehalem",2400,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","HP DL160 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"460",2012-11-01,439,-4.805,460,413,"DLR - CASE","Oracle","CASE Cluster","Oracle Blade Server X6275,  X5670 2.93 GHz, Infiniband QDR","Germany",100.9363391,786.04,7680,79340,91130,300,39,300,"Oakley","Cluster Platform SL390s G7, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2070","Ohio Supercomputer Center","Hewlett-Packard","United States",2012,"Academic",8280,0,79320,88099,90,1859200,0,225,353,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","NVIDIA 2070",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","North America","Americas"
"218",2012-11-01,440,-4.811,218,467,"Web Company (C)","Hewlett-Packard","","Cluster Platform 4000 BL685c G7, Opteron 6234  12C 2.400GHz, Gigabit Ethernet","China",64.50280691,1888.2,25176,121794.2,241690,NA,40,218,"","Cluster Platform 4000 BL685c G7, Opteron 6234  12C 2.400GHz, Gigabit Ethernet","Web Company (C)","Hewlett-Packard","China",2012,"Industry",25176,0,121794,241690,50,0,0,NA,NA,"Cluster","Opteron 6234  12C 2.400GHz","AMD x86_64",2400,"Linux","Linux","None",12,"Opteron 6200 Series ""Interlagos""","Cluster Platform 4000 BL685c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"268",2012-11-01,441,-4.815,268,464,"Arrow Enterprise Computing Solutions","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE","United States",71.23520585,1532.7,20436,109182.2,217439,167,38,105,"Lattice","DL170/SL390 , Xeon E5649 2.53GHz/L5520 4C 2.26GHz, Infiniband QDR, NVIDIA 2070","Compute Canada/WestGrid/University of Calgary","Hewlett-Packard","Canada",2011,"Academic",13672,2520,108701,193514,56,0,0,NA,NA,"Cluster","Xeon L5520 4C 2.260GHz","Intel Nehalem",2260,"Linux","Linux","NVIDIA 2070",4,"Xeon 5500-series (Nehalem-EP)","DL170/SL390 ","HP Cluster Platform 3000","Infiniband","Infiniband QDR","North America","Americas"
"204",2012-11-01,442,-4.821,204,473,"IT Service Provider (D)","Hewlett-Packard","","Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.30GHz, Gigabit Ethernet","United States",59.58658281,2146.5,28620,127902.6,263304,143,39,143,"","Power 775, POWER7 8C 3.836GHz, Custom Interconnect","United Kingdom Meteorological Office","IBM","United Kingdom",2012,"Research",5120,0,127547,157123,81,0,0,289,441,"MPP","POWER7 8C 3.836GHz","Power",3836,"AIX","Unix","None",8,"POWER7","Power 775","IBM pSeries","Custom Interconnect","Custom Interconnect","Northern Europe","Europe"
"292",2012-11-01,443,-4.83,292,456,"IT Services Provider","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","United States",71.58611111,1440,19200,103084,204288,NA,40,292,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","IT Services Provider ","Hewlett-Packard","United States",2012,"Industry",19200,0,103084,204288,50,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"293",2012-11-01,444,-4.831,293,455,"IT Services Provider","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet","United States",71.58611111,1440,19200,103084,204288,178,32,19,"","DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband","Computer Network Information Center, Chinese Academy of Science","Lenovo","China",2008,"Academic",12216,0,102800,145965,70,1600000,0,NA,NA,"Cluster","Xeon E5450 4C 3.000GHz","Intel Core",3000,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","Lenovo DeepComp 7000","Lenovo Cluster","Infiniband","Infiniband","Eastern Asia","Asia"
"467",2012-11-01,445,-4.838,467,420,"CINECA","IBM","","Power 575, p6 4.7 GHz, Infiniband","Italy",91.59487776,859,5376,78680,101068.8,305,38,274,"","BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Netwok Equipment Provider","IBM","Germany",2011,"Industry",13956,0,78642,148492,53,0,0,373,211,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","BladeCenter HS22 Cluster (WM)","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Western Europe","Europe"
"398",2012-11-01,446,-4.84,398,435,"Logistic Services","Hewlett-Packard","","Cluster Platform 4000 BL685c G7, Opteron 6276 16C 2.30GHz, Gigabit Ethernet","United States",82.69761225,1051.2,18688,86931.73,171930,251,39,251,"","Cluster Platform 4000 BL685c G7, Opteron 6140 8C 2.60GHz, Gigabit Ethernet","Logistic Services","Hewlett-Packard","China",2012,"Industry",16288,0,86463,169395,51,0,0,NA,NA,"Cluster","Opteron 6140 8C 2.600GHz","AMD x86_64",2600,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL685c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"466",2012-11-01,447,-4.841,466,421,"Naval Oceanographic Office - NAVO DSRC","IBM","","Power 575, p6 4.7 GHz, Infiniband","United States",90.54085155,869,5440,78680,102272,304,34,61,"","Power 575, p6 4.7 GHz, Infiniband","Navy DSRC","IBM","United States",2009,"Government",5440,0,78680,102272,77,0,0,869,91,"MPP","POWER6 2C 4.700GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","North America","Americas"
"404",2012-11-01,448,-4.842,404,437,"Web Company (C)","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet","China",82.59240094,1043.55,13914,86189.3,170307,255,38,153,"","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Financial Institution","Hewlett-Packard","United States",2011,"Industry",15816,0,86054,168282,51,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"422",2012-11-01,449,-4.848,422,436,"Arrow Enterprise Computing Solutions","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet","United States",82.69244719,1020.15,13602,84358.7,166488,272,38,167,"","Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.40 GHz, Gigabit Ethernet","Web Company (C)","Hewlett-Packard","China",2011,"Industry",17280,0,84344,165888,51,0,0,NA,NA,"Cluster","Opteron 6136 8C 2.400GHz","AMD x86_64",2400,"Linux","Linux","None",8,"Opteron 6100-series ""Magny-Cours"" ","Cluster Platform 4000 BL685c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"321",2012-11-01,450,-4.849,321,454,"Web Company (F)","Hewlett-Packard","","Cluster Platform 3000SL SL170s/160z, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","United States",71.95338099,1342.8,17904,96619,190499,NA,40,321,"","Cluster Platform 3000SL SL170s/160z, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","Web Company (F)","Hewlett-Packard","United States",2012,"Industry",17904,0,96619,190499,51,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.660GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000SL SL170s/160z","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"322",2012-11-01,451,-4.849,322,453,"Web Company (F)","Hewlett-Packard","","Cluster Platform 3000SL SL170s/160z, Xeon X5650 6C 2.660GHz, Gigabit Ethernet","United States",71.95338099,1342.8,17904,96619,190499,196,37,92,"","Cray XT5 QC 2.4 GHz","Navy DSRC","Cray Inc.","United States",2011,"Government",12720,0,96550,122112,79,1652536,0,NA,NA,"MPP","Opteron Quad Core 4C 2.400GHz","AMD x86_64",2400,"CNL","Linux","None",4,"Opteron Quad Core","Cray XT5 QuadCore","Cray XT","Proprietary Network","XT4 Internal Interconnect","North America","Americas"
"420",2012-11-01,452,-4.85,420,440,"Geoscience (P)","Hewlett-Packard","","Cluster Platform SL170s, Xeon X5650 6C 2.66GHz, Infiniband QDR","United States",81.9902392,1036.8,10368,85007.48,110316,270,39,270,"","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Numazu Complex, Fujitsu Limited","Fujitsu","Japan",2012,"Vendor",6144,0,84400,90833,93,1655808,0,NA,NA,"Cluster","SPARC64 IXfx 16C 1.848GHz","Sparc",1848,"Linux","Linux","None",16,"SPARC64 IXfx","PRIMEHPC FX10","Fujitsu Cluster","Custom Interconnect","Tofu interconnect","Eastern Asia","Asia"
"425",2012-11-01,453,-4.85,425,434,"IT Service Provider","Hewlett-Packard","","Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet","United States",82.72340846,1011.6,13488,83683,165093,274,39,274,"","Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet","IT Service Provider","Hewlett-Packard","United States",2012,"Industry",13488,0,83683,165093,51,0,0,NA,NA,"Cluster","Xeon X5675 6C 3.060GHz","Intel Nehalem",3060,"Linux","Linux","None",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
