"","top500rank","green500rank.g","site.g","manufacturer.g","computer.g","country.g","mflopswatt.g","power.g","how.g","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcores.t","rmax.t","rpeak.t","effeciency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","accelerator.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"396",396,445,"Logistic Services (C)","Hewlett-Packard","Cluster Platform 3000 BL460c, Xeon E5450 4C 3.00GHz, Gigabit Ethernet","United States",55.99,990,"Derived","","Cluster Platform 3000 BL460c, Xeon E5450 4C 3.00GHz, Gigabit Ethernet","Logistic Services (C)","Hewlett-Packard","United States",2009,"Industry",8800,0,55429,105600,52.49,0,0,NA,NA,"Cluster","Xeon E5450 4C 3.00GHz","Intel Core",3000,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","Cluster Platform 3000 BL460c","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"397",397,340,"Web Content Provider","Hewlett-Packard","HP DL160 Cluster G6, Xeon E5640 2.53 GHz, GigE","United States",140.88,393,"derived","","HP DL160 Cluster G6, Xeon E5640 2.53 GHz, GigE","Web Content Provider","Hewlett-Packard","United States",2011,"Industry",10480,0,55366.3,106057.6,52.2,0,0,NA,NA,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","HP DL160 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"398",398,493,"Web Company (F)","Hewlett-Packard","Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE","United States",37.11,1487.7,"derived","","Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE","Web Company (F)","Hewlett-Packard","United States",2011,"Industry",9918,0,55208.2,105527.5,52.32,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform SL160z","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"399",399,494,"Web Company (F)","Hewlett-Packard","Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE","United States",37.11,1487.7,"derived","","Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE","Web Company (F)","Hewlett-Packard","United States",2011,"Industry",9918,0,55208.2,105527.5,52.32,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform SL160z","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"400",400,495,"Web Company (F)","Hewlett-Packard","Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE","United States",37.11,1487.7,"derived","","Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE","Web Company (F)","Hewlett-Packard","United States",2011,"Industry",9918,0,55208.2,105527.5,52.32,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform SL160z","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"401",401,266,"Network Company","IBM","BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","China",178.93,308.07,"Submission","","BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","Network Company","IBM","China",2011,"Industry",9744,0,55122,98609.28,55.9,0,0,308.07,178.93,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"402",402,267,"Network Company","IBM","BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","China",178.93,308.07,"Submission","","BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","Network Company","IBM","China",2011,"Industry",9744,0,55122,98609.28,55.9,0,0,308.07,178.93,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"403",403,392,"Indian Institute of Tropical Meteorology","IBM","Power 575, p6 4.7 GHz, Infiniband","India",92.16,598,"Submission","","Power 575, p6 4.7 GHz, Infiniband","Indian Institute of Tropical Meteorology","IBM","India",2010,"Research",3744,0,55110,70387.2,78.3,0,0,598,92.16,"MPP","POWER6 2C 4.70GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","South-central Asia","Asia"
"404",404,350,"Web Content Provider","Hewlett-Packard","HP DL160 Cluster G6, Xeon E5620 2.4 GHz, GigE","United States",133.37,412.95,"derived","","HP DL160 Cluster G6, Xeon E5620 2.4 GHz, GigE","Web Content Provider","Hewlett-Packard","United States",2011,"Industry",11012,0,55075.1,105715.2,52.1,0,0,NA,NA,"Cluster","Xeon E5620 4C 2.40GHz","Intel EM64T",2400,"Linux","Linux","None",4,"Xeon E56xx (Westmere-EP)","HP DL160 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"405",405,458,"IT Service Provider (D)","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","United States",53.59,1027.28,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","IT Service Provider (D)","Hewlett-Packard","United States",2011,"Industry",8952,0,55054,104917.44,52.47,0,0,NA,NA,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"406",406,338,"Web Company (F)","Hewlett-Packard","HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE","United States",140.92,390.6,"derived","","HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE","Web Company (F)","Hewlett-Packard","United States",2011,"Industry",10416,0,55041.7,105409.9,52.22,0,0,NA,NA,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","HP DL180 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"407",407,339,"Web Company (F)","Hewlett-Packard","HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE","United States",140.92,390.6,"derived","","HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE","Web Company (F)","Hewlett-Packard","United States",2011,"Industry",10416,0,55041.7,105409.9,52.22,0,0,NA,NA,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","HP DL180 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"408",408,215,"Service Provider","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Japan",185.77,295.2,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Service Provider","IBM","Japan",2011,"Industry",9732,0,54840.21,98487.84,55.68,0,0,295.2,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"409",409,216,"Service Provider","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Japan",185.77,295.2,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Service Provider","IBM","Japan",2011,"Industry",9732,0,54840.21,98487.84,55.68,0,0,295.2,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"410",410,217,"Service Provider","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Japan",185.77,295.2,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Service Provider","IBM","Japan",2011,"Industry",9732,0,54840.21,98487.84,55.68,0,0,295.2,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"411",411,499,"Web Content Provider(P)","Hewlett-Packard","Cluster Platform SL165z G7, Opteron 6174 2.2 Ghz, Infiniband","Germany",30.45,1800,"derived","","Cluster Platform SL165z G7, Opteron 6174 2.2 Ghz, Infiniband","Web Content Provider(P)","Hewlett-Packard","Germany",2011,"Industry",12000,0,54806,105600,51.9,0,0,NA,NA,"Cluster","Opteron 6174 12C 2.20GHz","AMD x86_64",2200,"Linux","Linux","None",12,"Opteron 12 Core","Cluster Platform SL165z G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Western Europe","Europe"
"412",412,485,"IT Service Provider","Hewlett-Packard","Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE","United Kingdom",44.39,1230.1,"Derived","","Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE","IT Service Provider","Hewlett-Packard","United Kingdom",2011,"Industry",12552,0,54605.3,105436.8,51.79,0,0,NA,NA,"Cluster","Opteron 6172 12C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 12 Core","Cluster Platform 4000 BL685c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","Northern Europe","Europe"
"413",413,441,"IT Service Provider (D)","Hewlett-Packard","Cluster Platform 3000 BL460c, Xeon E5450 4C 3.00GHz, Gigabit Ethernet","United States",56.03,972,"Derived","","Cluster Platform 3000 BL460c, Xeon E5450 4C 3.00GHz, Gigabit Ethernet","IT Service Provider (D)","Hewlett-Packard","United States",2009,"Industry",8640,0,54463,103680,52.53,0,0,NA,NA,"Cluster","Xeon E5450 4C 3.00GHz","Intel Core",3000,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","Cluster Platform 3000 BL460c","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"414",414,368,"University of Tokyo/Human Genome Center, IMS","Sun Microsystems","SunBlade x6250, Xeon E5450 3GHz, Infiniband","Japan",120.05,451.58,"Derived","SHIROKANE","SunBlade x6250, Xeon E5450 3GHz, Infiniband","University of Tokyo/Human Genome Center, IMS","Sun Microsystems","Japan",2009,"Academic",5760,0,54210,69120,78.43,786712,0,NA,NA,"Cluster","Xeon E5450 4C 3.00GHz","Intel Core",3000,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","Sun Blade x6250","Sun Blade System","Infiniband","Infiniband DDR","Eastern Asia","Asia"
"415",415,335,"Web Company (F)","Hewlett-Packard","HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE","United States",141.01,384,"derived","","HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE","Web Company (F)","Hewlett-Packard","United States",2011,"Industry",10240,0,54148.1,103628.8,52.25,0,0,NA,NA,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","HP DL180 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"416",416,336,"Web Company (F)","Hewlett-Packard","HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE","United States",141.01,384,"derived","","HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE","Web Company (F)","Hewlett-Packard","United States",2011,"Industry",10240,0,54148.1,103628.8,52.25,0,0,NA,NA,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","HP DL180 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"417",417,337,"Web Company (F)","Hewlett-Packard","HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE","United States",141.01,384,"derived","","HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE","Web Company (F)","Hewlett-Packard","United States",2011,"Industry",10240,0,54148.1,103628.8,52.25,0,0,NA,NA,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","HP DL180 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"418",418,473,"IT Service Provider","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","United States",48.54,1115.41,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","IT Service Provider","Hewlett-Packard","United States",2011,"Industry",9720,0,54139,103420.8,52.35,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"419",419,474,"IT Service Provider","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","United States",48.54,1115.41,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","IT Service Provider","Hewlett-Packard","United States",2011,"Industry",9720,0,54139,103420.8,52.35,0,0,NA,NA,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"420",420,190,"Financial Institution","Hewlett-Packard","Cluster Platform SL160z, Xeon L5520 4C 2.26 GHz, Gigabit Ethernet","United States",208.92,258.84,"derived","","Cluster Platform SL160z, Xeon L5520 4C 2.26 GHz, Gigabit Ethernet","Financial Institution","Hewlett-Packard","United States",2011,"Industry",11504,0,54077,103996.16,52,0,0,NA,NA,"Cluster","Xeon L5520 4C 2.26GHz","Intel EM64T",2260,"Linux","Linux","None",4,"Xeon L55xx (Nehalem-EP)","Cluster Platform SL160z","HP Cluster Platform 3000SL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"421",421,407,"Service Provider","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06 GHz, Infiniband QDR","United States",83.72,645.83,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06 GHz, Infiniband QDR","Service Provider","Hewlett-Packard","United States",2011,"Industry",5628,0,54072,68886.72,78.49,0,0,NA,NA,"Cluster","Xeon X5675 6C 3.06GHz","Intel Nehalem",3060,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","North America","Americas"
"422",422,171,"Service Provider","IBM","BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","China",220.93,244.24,"Submission","","BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","Service Provider","IBM","China",2011,"Industry",9576,0,53961,96909,55.68,0,0,244.24,220.93,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","BladeCenter HS22 Cluster (WM)","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"423",423,302,"IT Service Provider (D)","Hewlett-Packard","Cluster Platform 4000 BL685c G7, Opteron 6172 12C 2.10 GHz, 10G Ethernet","United States",174.09,306.9,"derived","","Cluster Platform 4000 BL685c G7, Opteron 6172 12C 2.10 GHz, 10G Ethernet","IT Service Provider (D)","Hewlett-Packard","United States",2011,"Industry",8184,0,53429,68745.6,77.72,0,0,NA,NA,"Cluster","Opteron 6172 12C 2.10GHz","AMD x86_64",2100,"Linux","Linux","None",12,"Opteron 12 Core","Cluster Platform 4000 BL685c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","10G Ethernet","North America","Americas"
"424",424,180,"Financial Institution (P)","IBM","iDataPlex, Xeon X56xx 6C 2.66 GHz, GigE","United Kingdom",215.38,248.03,"Submission","","iDataPlex, Xeon X56xx 6C 2.66 GHz, GigE","Financial Institution (P)","IBM","United Kingdom",2011,"Industry",9480,0,53420,100867,52.96,0,0,248.03,215.38,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries iDataPlex","IBM iDataPlex","Gigabit Ethernet","Gigabit Ethernet","Northern Europe","Europe"
"425",425,181,"Financial Institution (P)","IBM","iDataPlex, Xeon X56xx 6C 2.66 GHz, GigE","United Kingdom",215.38,248.03,"Submission","","iDataPlex, Xeon X56xx 6C 2.66 GHz, GigE","Financial Institution (P)","IBM","United Kingdom",2011,"Industry",9480,0,53420,100867,52.96,0,0,248.03,215.38,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries iDataPlex","IBM iDataPlex","Gigabit Ethernet","Gigabit Ethernet","Northern Europe","Europe"
"426",426,136,"ONERA","SGI","SGI Altix ICE 8200EX, Xeon X5560 2.8 GHz/X5675 3.06 GHz, Infiniband","France",278.77,191.2,"derived","","SGI Altix ICE 8200EX, Xeon X5560 2.8 GHz/X5675 3.06 GHz, Infiniband","ONERA","SGI","France",2011,"Research",4992,0,53300,57907.2,92.04,1418760,0,NA,NA,"MPP","Xeon X5560 4C 2.80GHz","Intel EM64T",2800,"SLES10 + SGI ProPack 5","Linux","None",4,"Xeon X55xx (Nehalem-EP)","SGI Altix ICE 8200EX","SGI Altix","Infiniband","Infiniband","Western Europe","Europe"
"427",427,234,"Service Provider","IBM","xSeries x3650M3 Cluster, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","China",185.77,286.47,"Submission","","xSeries x3650M3 Cluster, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","Service Provider","IBM","China",2011,"Industry",9444,0,53217,95573,55.68,0,0,286.47,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"428",428,235,"Service Provider","IBM","xSeries x3650M3 Cluster, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","China",185.77,286.47,"Submission","","xSeries x3650M3 Cluster, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","Service Provider","IBM","China",2011,"Industry",9444,0,53217,95573,55.68,0,0,286.47,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"429",429,348,"Web Content Provider","Hewlett-Packard","HP DL160 Cluster G6, Xeon E5620 4C 2.40 GHz, Gigabit Ethernet","United States",133.56,397.8,"derived","","HP DL160 Cluster G6, Xeon E5620 4C 2.40 GHz, Gigabit Ethernet","Web Content Provider","Hewlett-Packard","United States",2011,"Industry",10608,0,53132,101836.8,52.17,0,0,NA,NA,"Cluster","Xeon E5620 4C 2.40GHz","Intel EM64T",2400,"Linux","Linux","None",4,"Xeon E56xx (Westmere-EP)","HP DL160 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"430",430,349,"Web Content Provider","Hewlett-Packard","HP DL160 Cluster G6, Xeon E5620 4C 2.40 GHz, Gigabit Ethernet","United States",133.56,397.8,"derived","","HP DL160 Cluster G6, Xeon E5620 4C 2.40 GHz, Gigabit Ethernet","Web Content Provider","Hewlett-Packard","United States",2011,"Industry",10608,0,53132,101836.8,52.17,0,0,NA,NA,"Cluster","Xeon E5620 4C 2.40GHz","Intel EM64T",2400,"Linux","Linux","None",4,"Xeon E56xx (Westmere-EP)","HP DL160 Cluster G6","HP Cluster Platform 3000","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"431",431,218,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"432",432,219,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"433",433,220,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"434",434,221,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"435",435,222,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"436",436,223,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"437",437,224,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"438",438,225,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"439",439,226,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"440",440,227,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"441",441,228,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"442",442,229,"Internet Service","IBM","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","China",185.77,285.74,"Submission","","xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","Internet Service","IBM","China",2011,"Industry",9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,"Cluster","Xeon E5649 6C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",6,"Xeon E56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
